"Date","FNSKU","ASIN","MSKU","Title","Disposition","Starting Warehouse Balance","In Transit Between Warehouses","Receipts","Customer Shipments","Customer Returns","Vendor Returns","Warehouse Transfer In/Out","Found","Lost","Damaged","Disposed","Other Events","Ending Warehouse Balance","Unknown Events","Location"
"03/08/2026","X00266RGFB","B0DJ2VFZWN","FBA79641","Fossil Men's Minimalist Brown Analog Quartz Leather Watch FS6094","SELLABLE","2","0","0","0","0","0","0","0","0","0","0","0","2","0","DEL5"
"03/08/2026","X00266RGFB","B0DJ2VFZWN","FBA79641","Fossil Men's Minimalist Brown Analog Quartz Leather Watch FS6094","SELLABLE","0","0","1","0","0","0","0","0","0","0","0","0","1","0","HYD3"
"03/08/2026","X00266RGFB","B0DJ2VFZWN","FBA79641","Fossil Men's Minimalist Brown Analog Quartz Leather Watch FS6094","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","HYD8"
"03/08/2026","X00266RGFB","B0DJ2VFZWN","FBA79641","Fossil Men's Minimalist Brown Analog Quartz Leather Watch FS6094","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","MAA4"
"03/08/2026","X00266RWJV","B0DJ2WKCPD","FBA79631","Fossil Women's Harlow Pink Quartz Analog Stainless Steel Watch ES5386","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","BLR7"
"03/08/2026","X00266RWJV","B0DJ2WKCPD","FBA79631","Fossil Women's Harlow Pink Quartz Analog Stainless Steel Watch ES5386","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","BLR8"
"03/08/2026","X00266RWJV","B0DJ2WKCPD","FBA79631","Fossil Women's Harlow Pink Quartz Analog Stainless Steel Watch ES5386","SELLABLE","2","0","0","0","0","0","0","0","0","0","0","0","2","0","BOM7"
"03/08/2026","X00266RWJV","B0DJ2WKCPD","FBA79631","Fossil Women's Harlow Pink Quartz Analog Stainless Steel Watch ES5386","SELLABLE","2","0","0","0","0","0","0","0","0","0","0","0","2","0","DEL5"
"03/08/2026","X00266RWJV","B0DJ2WKCPD","FBA79631","Fossil Women's Harlow Pink Quartz Analog Stainless Steel Watch ES5386","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","HYD3"
"03/08/2026","X00266RWJV","B0DJ2WKCPD","FBA79631","Fossil Women's Harlow Pink Quartz Analog Stainless Steel Watch ES5386","SELLABLE","2","0","0","0","0","0","0","0","0","0","0","0","2","0","MAA4"
"03/08/2026","X00266T7NF","B0DJ2Z6JSW","FBA79634","Fossil Men's Machine Brown Analog Quartz Leather Watch FS6081Set","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","BOM5"
"03/08/2026","X00266T7NF","B0DJ2Z6JSW","FBA79634","Fossil Men's Machine Brown Analog Quartz Leather Watch FS6081Set","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","CCX1"
"03/08/2026","X00266T7NF","B0DJ2Z6JSW","FBA79634","Fossil Men's Machine Brown Analog Quartz Leather Watch FS6081Set","SELLABLE","2","0","0","0","0","0","0","0","0","0","0","0","2","0","DEL5"
"03/08/2026","X00266T7NF","B0DJ2Z6JSW","FBA79634","Fossil Men's Machine Brown Analog Quartz Leather Watch FS6081Set","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","HYD8"
"03/08/2026","X00266U24X","B0DJ2XQB3P","FBA79639","Fossil Men's Everett Black Analog Quartz Leather Watch FS6089","SELLABLE","0","0","1","0","0","0","0","0","0","0","0","0","1","0","HYD3"
"03/08/2026","X0026A2H0L","B08CVP2HXP","FBA77111","TONOR USB Microphone, Condenser Computer PC Mic with Tripod Stand, Metal,Pop Filter, Shock Mount for Gaming,Streaming,Podcasting,YouTube, Voice Over,Skype, Twitch,Compatible with Laptop Desktop, TC30","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","DEL4"
"03/08/2026","X002844WTT","B079DC27J5","FBS75146","Fossil Analog Black Dial Men's Watch-FS5452","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","BLR7"
"03/08/2026","X002844WTT","B079DC27J5","FBS75146","Fossil Analog Black Dial Men's Watch-FS5452","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","BOM7"
"03/08/2026","X002844WTT","B079DC27J5","FBS75146","Fossil Analog Black Dial Men's Watch-FS5452","SELLABLE","2","0","0","0","0","0","0","0","0","0","0","0","2","0","DEL4"
"03/08/2026","X002844WUX","B0BQ35JRM3","FBS78012","Fossil Machine Black Watch FS5971","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","BLR8"
"03/08/2026","X002844WUX","B0BQ35JRM3","FBS78012","Fossil Machine Black Watch FS5971","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","DEL4"
"03/08/2026","X002844WUX","B0BQ35JRM3","FBS78012","Fossil Machine Black Watch FS5971","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","HYD8"
"03/08/2026","X002844X4N","B09GYQ4RS7","FBS74972","Fossil Everett Analog Gray Dial Men's Stainless Steel Watch-Me3206","SELLABLE","0","1","0","0","1","0","-1","0","0","0","0","0","0","0","BLR5"
"03/08/2026","X002844X4N","B09GYQ4RS7","FBS74972","Fossil Everett Analog Gray Dial Men's Stainless Steel Watch-Me3206","SELLABLE","2","0","0","0","0","0","0","0","0","0","0","0","2","0","BLR7"
"03/08/2026","X002844X4N","B09GYQ4RS7","FBS74972","Fossil Everett Analog Gray Dial Men's Stainless Steel Watch-Me3206","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","BOM5"
"03/08/2026","X002844X4N","B09GYQ4RS7","FBS74972","Fossil Everett Analog Gray Dial Men's Stainless Steel Watch-Me3206","SELLABLE","1","0","0","0","0","0","0","0","0","0","0","0","1","0","BOM7"
