(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B00AG37H8Y,B00AG37H8Y,"Fossil Analog White Dial Men's Watch-FS4795 Stainless Steel, Multicolor Strap","14,293",299,8.56%,9.62%,"19,481",482,8.63%,11.06%,99.89%,100.00%,43,2,0.30%,0.67%,"₹6,23,242.00","₹28,988.00",43,2
B0846PJPW9,B0846PJPW9,Armani Exchange Black Dial Analog Men's Watch,"6,354",125,3.81%,4.02%,"8,810",177,3.90%,4.06%,78.35%,76.56%,27,0,0.42%,0.00%,"₹2,02,311.00",₹0.00,26,0
B004D4S7AY,B004D4S7AY,Fossil Analog Gold Dial Women's Watch - ES2811,"5,273",54,3.16%,1.74%,"7,331",74,3.25%,1.70%,97.24%,100.00%,13,1,0.25%,1.85%,"₹1,75,422.00","₹13,494.00",13,1
B01KNMEVDG,B01KNMEVDG,Fossil Grant Sport Blue Watch FS5237,"9,229",145,5.53%,4.67%,"12,595",196,5.58%,4.50%,22.11%,28.26%,13,1,0.14%,0.69%,"₹1,01,335.00","₹7,795.00",13,1
B00NVAWTLY,B00NVAWTLY,"Fossil Nate Analog Black Dial Men's Watch-JR1487 Genuine Leather, Brown Strap","1,546",30,0.93%,0.97%,"2,161",43,0.96%,0.99%,98.55%,100.00%,12,0,0.78%,0.00%,"₹1,33,356.00",₹0.00,12,0
B0DKJJDZSF,B0DKJJDZSF,Armani Exchange Analog Gray Dial Men's Watch-AX2462,"1,355",28,0.81%,0.90%,"1,924",41,0.85%,0.94%,92.12%,100.00%,11,1,0.81%,3.57%,"₹1,09,978.00","₹9,998.00",11,1
B00AMWDOEK,B00AMWDOEK,Fossil Grant Chronograph Beige Dial Men's Watch - FS4735,"2,748",25,1.65%,0.80%,"3,612",26,1.60%,0.60%,96.99%,100.00%,10,0,0.36%,0.00%,"₹1,16,946.00",₹0.00,10,0
B00EVZ83J0,B00EVZ83J0,"Fossil Decker Brown Watch Ch2885 - Chronograph, Men, Leather","11,583",234,6.94%,7.53%,"16,548",323,7.33%,7.41%,4.71%,7.91%,10,0,0.09%,0.00%,"₹74,720.00",₹0.00,10,0
B07CSNG8XL,B07CSNG8XL,Fossil Carlie Analog White Dial Women's Watch - ES4433,"1,615",18,0.97%,0.58%,"2,261",24,1.00%,0.55%,92.22%,100.00%,12,0,0.74%,0.00%,"₹1,13,928.00",₹0.00,10,0
B06VV5QB6Q,B06VV5QB6Q,"Fossil Analog Black Dial Men's Watch-FS5308 Stainless Steel, Black Strap","1,787",27,1.07%,0.87%,"2,302",31,1.02%,0.71%,88.23%,100.00%,9,0,0.50%,0.00%,"₹85,446.00",₹0.00,8,0
B0BFXL8ZP9,B0BFXL8ZP9,"Fossil Neutra Analog Green Dial Men's Watch-FS5963 Genuine Leather, Brown Strap",839,14,0.50%,0.45%,"1,116",17,0.49%,0.39%,97.15%,100.00%,7,0,0.83%,0.00%,"₹90,965.00",₹0.00,7,0
B00AFTTQ8I,B00AFTTQ8I,Fossil Chronograph men Grant Brown Quartz Leather Watch FS4813IE,"1,366",22,0.82%,0.71%,"1,792",34,0.79%,0.78%,99.88%,100.00%,6,0,0.44%,0.00%,"₹77,964.00",₹0.00,6,0
B00AFTTQQ0,B00AFTTQQ0,Fossil Grant Chronograph Black Dial Men's Watch-FS4812,"1,410",22,0.84%,0.71%,"1,967",33,0.87%,0.76%,93.97%,100.00%,6,1,0.43%,4.55%,"₹54,582.00","₹9,097.00",6,1
B079XB5RXH,B079XB5RXH,Michael Kors Ritz Analogue Women's Watch (Rose Gold Dial Rose Gold Colored Strap),"1,074",17,0.64%,0.55%,"1,418",22,0.63%,0.50%,99.85%,100.00%,6,0,0.56%,0.00%,"₹1,46,964.00",₹0.00,6,0
B07M7P7VLX,B07M7P7VLX,Fossil Women's Analog Watch (Black),"1,056",15,0.63%,0.48%,"1,392",18,0.62%,0.41%,94.43%,100.00%,6,0,0.57%,0.00%,"₹56,682.00",₹0.00,5,0
B07RZ1R1HJ,B07RZ1R1HJ,"Fossil Analog Gold Dial Women's Watch (ES4628, Multicolour)",726,4,0.43%,0.13%,"1,046",4,0.46%,0.09%,95.84%,100.00%,5,0,0.69%,0.00%,"₹64,970.00",₹0.00,5,0
B08QVCPDVT,B08QVCPDVT,Fossil Neutra Silver Watch FS5792,"1,380",17,0.83%,0.55%,"1,860",27,0.82%,0.62%,93.04%,100.00%,5,0,0.36%,0.00%,"₹72,470.00",₹0.00,5,0
B0DKJH623H,B0DKJH623H,Armani Exchange Analog Black Dial Men's Stainless Steel Watch-AX2461,662,19,0.40%,0.61%,"1,022",37,0.45%,0.85%,76.33%,50.00%,5,0,0.76%,0.00%,"₹53,985.00",₹0.00,5,0
B01487C7CO,B01487C7CO,Fossil Analog Brown Dial Men's Leather Band Watch - ME3098,"4,385",71,2.63%,2.29%,"5,438",98,2.41%,2.25%,96.00%,100.00%,4,0,0.09%,0.00%,"₹79,976.00",₹0.00,4,0
B07MM5MH6F,B07MM5MH6F,"Fossil Watch, Black, Free Size, (FS5512)",908,12,0.54%,0.39%,"1,181",19,0.52%,0.44%,96.85%,100.00%,4,0,0.44%,0.00%,"₹51,976.00",₹0.00,4,0
B08K969L6V,B08K969L6V,"Saregama Carvaan Mini Kids - Pre-Loaded with Stories, Rhymes, Learnings, Mantras with Bluetooth/USB/Aux in-Out","1,052",28,0.63%,0.90%,"1,610",52,0.71%,1.19%,7.65%,4.00%,4,1,0.38%,3.57%,"₹12,760.00","₹3,190.00",4,1
B0DKJHSD8R,B0DKJHSD8R,Armani Exchange Analog Gray Dial Men's Stainless Steel Watch-AX4184,"1,892",30,1.13%,0.97%,"2,679",42,1.19%,0.96%,91.03%,89.66%,4,0,0.21%,0.00%,"₹63,980.00",₹0.00,4,0
B0DSBRWZ8N,B0DSBRWZ8N,Fossil Chronograph Men Neutra Brown Quartz Leather Gold Dial Watch FS6113,731,5,0.44%,0.16%,"1,024",9,0.45%,0.21%,87.33%,100.00%,4,0,0.55%,0.00%,"₹40,286.00",₹0.00,4,0
B0DSBSD26P,B0DSBSD26P,Fossil Chronograph Men Neutra Grey Quartz Stainless Steel Blue Dial Watch FS6111,966,19,0.58%,0.61%,"1,308",25,0.58%,0.57%,90.27%,92.86%,4,0,0.41%,0.00%,"₹57,980.00",₹0.00,4,0
B0DVC968P1,B0DVC968P1,"NexLev Cool Mist Humidifier | 3.5L| For Office, Indoor Plants, Baby Nursery | Quiet Operation | Works 44Hrs on Low Setting | 360° Nozzle | Auto Shut-Off | Adjustable Knob | Leak Proof | HU-01",61,2,0.04%,0.06%,82,2,0.04%,0.05%,48.00%,0.00%,4,0,6.56%,0.00%,"₹8,136.00",₹0.00,4,0
B007NM84PQ,B007NM84PQ,Fossil Women Jesse Analog Rose Gold Dial Watch - ES3020,"2,038",19,1.22%,0.61%,"2,640",22,1.17%,0.50%,96.92%,100.00%,3,0,0.15%,0.00%,"₹35,982.00",₹0.00,3,0
B0BQZGJHKV,B0BQZGJHKV,Armani Exchange Analog Black Dial Men's Watch-AX1867,584,12,0.35%,0.39%,917,17,0.41%,0.39%,63.61%,100.00%,3,0,0.51%,0.00%,"₹32,541.00",₹0.00,3,0
B0CF61X2BG,B0CF61X2BG,Fossil Analog Blue Dial Men's Watch-Fs6029 - Stainless Steel,377,4,0.23%,0.13%,513,5,0.23%,0.11%,84.57%,100.00%,3,0,0.80%,0.00%,"₹28,341.00",₹0.00,3,0
B0CFBB587Z,B0CFBB587Z,"Fossil Analog Multicolor Dial Men's Watch-ME3253 Stainless Steel, Black Strap","1,808",25,1.08%,0.80%,"2,435",31,1.08%,0.71%,90.03%,100.00%,3,0,0.17%,0.00%,"₹68,985.00",₹0.00,3,0
B0D9369MTM,B0D9369MTM,Fossil Harlow Brown Watch ES5364,"1,271",20,0.76%,0.64%,"1,494",37,0.66%,0.85%,96.38%,100.00%,3,0,0.24%,0.00%,"₹35,970.00",₹0.00,3,0
B0D9574DPS,B0D9574DPS,Fossil Neutra Gold Watch ES5358,266,5,0.16%,0.16%,369,11,0.16%,0.25%,82.02%,100.00%,3,0,1.13%,0.00%,"₹28,341.00",₹0.00,3,0
