(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B00AG37H8Y,B00AG37H8Y,"Fossil Analog White Dial Men's Watch-FS4795 Stainless Steel, Multicolor Strap","17,654",377,9.65%,10.90%,"23,725",528,9.67%,10.97%,99.88%,100.00%,40,0,0.23%,0.00%,"₹5,79,760.00",₹0.00,40,0
B00EVZ83J0,B00EVZ83J0,"Fossil Decker Brown Watch Ch2885 - Chronograph, Men, Leather","11,705",249,6.40%,7.20%,"16,455",332,6.71%,6.90%,49.11%,59.04%,37,2,0.32%,0.80%,"₹2,97,739.00","₹16,094.00",37,2
B00NVAWTLY,B00NVAWTLY,"Fossil Nate Analog Black Dial Men's Watch-JR1487 Genuine Leather, Brown Strap","2,432",34,1.33%,0.98%,"3,428",44,1.40%,0.91%,86.24%,96.00%,19,1,0.78%,2.94%,"₹1,92,793.00","₹10,147.00",19,1
B00AFTTQQ0,B00AFTTQQ0,Fossil Grant Chronograph Black Dial Men's Watch-FS4812,"2,181",23,1.19%,0.66%,"3,127",26,1.27%,0.54%,90.61%,100.00%,14,0,0.64%,0.00%,"₹1,27,358.00",₹0.00,14,0
B004D4S7AY,B004D4S7AY,Fossil Analog Gold Dial Women's Watch - ES2811,"5,169",62,2.82%,1.79%,"7,281",104,2.97%,2.16%,51.88%,58.18%,13,2,0.25%,3.23%,"₹1,75,422.00","₹26,988.00",13,2
B008AXYWHQ,B008AXYWHQ,Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401,"3,906",73,2.13%,2.11%,"5,628",104,2.29%,2.16%,95.97%,97.50%,12,0,0.31%,0.00%,"₹1,34,364.00",₹0.00,12,0
B06VV5QB6Q,B06VV5QB6Q,"Fossil Analog Black Dial Men's Watch-FS5308 Stainless Steel, Black Strap",959,10,0.52%,0.29%,"1,332",13,0.54%,0.27%,81.34%,100.00%,12,0,1.25%,0.00%,"₹1,13,916.00",₹0.00,12,0
B07CSNG8XL,B07CSNG8XL,Fossil Carlie Analog White Dial Women's Watch - ES4433,"2,225",26,1.22%,0.75%,"3,042",45,1.24%,0.93%,87.62%,100.00%,12,1,0.54%,3.85%,"₹1,13,928.00","₹9,494.00",12,1
B07N6KCJM4,B07N6KCJM4,Saregama Carvaan Mini 2.0 Telugu- Music Player with Bluetooth/FM/AM/AUX (Sunset Red),"1,031",22,0.56%,0.64%,"1,416",28,0.58%,0.58%,43.70%,27.27%,12,0,1.16%,0.00%,"₹29,880.00",₹0.00,12,0
B0DSBSD26P,B0DSBSD26P,Fossil Chronograph Men Neutra Grey Quartz Stainless Steel Blue Dial Watch FS6111,"1,405",39,0.77%,1.13%,"1,967",73,0.80%,1.52%,83.95%,100.00%,10,1,0.71%,2.56%,"₹1,44,940.00","₹14,494.00",10,1
B08QVCPDVT,B08QVCPDVT,Fossil Neutra Silver Watch FS5792,"1,722",28,0.94%,0.81%,"2,381",35,0.97%,0.73%,92.28%,100.00%,9,0,0.52%,0.00%,"₹1,30,446.00",₹0.00,9,0
B07M7P7VLX,B07M7P7VLX,Fossil Women's Analog Watch (Black),"1,242",20,0.68%,0.58%,"1,730",30,0.71%,0.62%,92.88%,100.00%,8,0,0.64%,0.00%,"₹75,576.00",₹0.00,8,0
B08K969L6V,B08K969L6V,"Saregama Carvaan Mini Kids - Pre-Loaded with Stories, Rhymes, Learnings, Mantras with Bluetooth/USB/Aux in-Out","2,229",55,1.22%,1.59%,"3,256",81,1.33%,1.68%,7.99%,11.43%,8,0,0.36%,0.00%,"₹25,520.00",₹0.00,8,0
B0058XWUHA,B0058XWUHA,Michael Kors Parker Analog White Dial Gold Band Women's Stainless Steel Watch-MK5491,771,14,0.42%,0.40%,"1,111",16,0.45%,0.33%,96.35%,100.00%,6,0,0.78%,0.00%,"₹1,37,964.00",₹0.00,6,0
B07LDHVWTF,B07LDHVWTF,Saregama Carvaan Mini 2.0 Gurbani- Music Player with Bluetooth/FM/AM/AUX (Saffron Orange),"1,077",30,0.59%,0.87%,"1,527",46,0.62%,0.96%,11.85%,7.69%,6,0,0.56%,0.00%,"₹14,940.00",₹0.00,6,0
B0FTMM455Z,B0FTMM455Z,Fossil Raquel Gold Quartz Stainless Steel Watch ES5452,"1,140",31,0.62%,0.90%,"1,577",36,0.64%,0.75%,91.80%,100.00%,6,0,0.53%,0.00%,"₹80,970.00",₹0.00,6,0
B079XB5RXH,B079XB5RXH,Michael Kors Ritz Analogue Women's Watch (Rose Gold Dial Rose Gold Colored Strap),"1,097",21,0.60%,0.61%,"1,466",30,0.60%,0.62%,99.55%,100.00%,5,0,0.46%,0.00%,"₹1,22,470.00",₹0.00,5,0
B0D936GPVL,B0D936GPVL,Fossil Harlow Gold Watch ES5361,"5,714",55,3.12%,1.59%,"7,131",70,2.91%,1.45%,91.89%,93.33%,5,0,0.09%,0.00%,"₹67,475.00",₹0.00,5,0
B0DKJHSD8R,B0DKJHSD8R,Armani Exchange Analog Gray Dial Men's Stainless Steel Watch-AX4184,"3,289",86,1.80%,2.49%,"4,516",113,1.84%,2.35%,88.79%,82.76%,5,0,0.15%,0.00%,"₹79,975.00",₹0.00,5,0
B07MFZ6S2Q,B07MFZ6S2Q,Fossil Neutra Analog Black Dial and Band Men's Stainless Steel Watch-FS5525,863,18,0.47%,0.52%,"1,191",22,0.49%,0.46%,89.56%,100.00%,4,0,0.46%,0.00%,"₹57,976.00",₹0.00,4,0
B0DSBQCZTK,B0DSBQCZTK,Armani Exchange Men Analogue Black Band Black Quartz Stainless Steel Watch AX2463,"1,942",41,1.06%,1.18%,"2,621",63,1.07%,1.31%,97.54%,100.00%,4,1,0.21%,2.44%,"₹95,964.00","₹23,991.00",4,1
B0DSBRWZ8N,B0DSBRWZ8N,Fossil Chronograph Men Neutra Brown Quartz Leather Gold Dial Watch FS6113,900,9,0.49%,0.26%,"1,187",20,0.48%,0.42%,67.71%,100.00%,4,0,0.44%,0.00%,"₹51,980.00",₹0.00,4,0
B0DSBSGK17,B0DSBSGK17,Fossil Men Everett Multicolor Quartz Stainless Steel Green Dial Analog Watch FS6106,"1,701",40,0.93%,1.16%,"2,277",49,0.93%,1.02%,73.89%,94.44%,4,0,0.24%,0.00%,"₹63,980.00",₹0.00,4,0
B00WM0CF4A,B00WM0CF4A,Fossil Women's ES3843 Jacqueline Analog Quartz Blue Watch,"1,555",34,0.85%,0.98%,"2,004",40,0.82%,0.83%,57.10%,83.33%,3,1,0.19%,2.94%,"₹29,985.00","₹9,995.00",3,1
B0846Q1JT5,B0846Q1JT5,Armani Exchange Analog Silver Dial Women's Stainless Steel Watch-Ax5901,"1,033",13,0.56%,0.38%,"1,335",21,0.54%,0.44%,90.20%,100.00%,3,0,0.29%,0.00%,"₹46,485.00",₹0.00,3,0
