(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B008AXYWHQ,B008AXYWHQ,Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401,"6,758",137,3.20%,3.47%,"9,818",201,3.44%,3.64%,99.11%,96.39%,47,0,0.70%,0.00%,"₹4,86,259.00",₹0.00,46,0
B00EVZ83J0,B00EVZ83J0,"Fossil Decker Brown Watch Ch2885 - Chronograph, Men, Leather","10,792",187,5.10%,4.73%,"15,403",251,5.40%,4.55%,49.84%,65.71%,47,1,0.44%,0.53%,"₹3,71,309.00","₹8,047.00",46,1
B01KNMEVDG,B01KNMEVDG,Fossil Grant Sport Blue Watch FS5237,"14,196",274,6.71%,6.93%,"19,617",375,6.88%,6.80%,29.72%,41.82%,29,0,0.20%,0.00%,"₹2,37,813.00",₹0.00,29,0
B00AG37H8Y,B00AG37H8Y,"Fossil Analog White Dial Men's Watch-FS4795 Stainless Steel, Multicolor Strap","8,140",156,3.85%,3.95%,"11,265",225,3.95%,4.08%,94.36%,93.39%,26,1,0.32%,0.64%,"₹3,76,844.00","₹14,494.00",26,1
B004D4S7AY,B004D4S7AY,Fossil Analog Gold Dial Women's Watch - ES2811,"7,935",89,3.75%,2.25%,"10,442",117,3.66%,2.12%,99.04%,100.00%,19,1,0.24%,1.12%,"₹2,56,386.00","₹13,494.00",19,1
B0CRDG22TQ,B0CRDG22TQ,"Fossil Women Neutra Brown Quartz Leather Chronograph Watch Es5278, Dial-Color:Off-White, Band Color:Brown",892,19,0.42%,0.48%,"1,282",20,0.45%,0.36%,98.70%,100.00%,17,0,1.91%,0.00%,"₹1,42,740.00",₹0.00,17,0
B0FCVPBY7Y,B0FCVPBY7Y,Fossil Grant Multicolor Quartz Stainless Steel Watch FS6131,"1,715",65,0.81%,1.64%,"2,544",114,0.89%,2.07%,86.47%,95.16%,17,2,0.99%,3.08%,"₹2,46,415.00","₹28,990.00",17,2
B08K969L6V,B08K969L6V,"Saregama Carvaan Mini Kids - Pre-Loaded with Stories, Rhymes, Learnings, Mantras with Bluetooth/USB/Aux in-Out","2,438",66,1.15%,1.67%,"3,718",115,1.30%,2.08%,11.94%,14.29%,17,0,0.70%,0.00%,"₹54,230.00",₹0.00,16,0
B0CYSLCRQS,B0CYSLCRQS,"NexLev Mattress, Sofa & Carpet Vacuum Cleaner | For Dust Mites, Allergens & Pet Hair | 4 Step Cleansing with Double Beat, UV Light, Dehumidification & Vacuum | HEPA captures 99.99% Dust|MR-01","11,107",119,5.25%,3.01%,"13,962",144,4.89%,2.61%,86.71%,83.33%,16,3,0.14%,2.52%,"₹46,384.00","₹8,697.00",16,3
B0846PJPW9,B0846PJPW9,Armani Exchange Black Dial Analog Men's Watch,"4,754",98,2.25%,2.48%,"6,530",137,2.29%,2.48%,48.10%,36.84%,15,1,0.32%,1.02%,"₹1,16,105.00","₹8,047.00",15,1
