(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B00EVZ83J0,B00EVZ83J0,"Fossil Decker Brown Watch Ch2885 - Chronograph, Men, Leather","7,528",201,4.49%,6.03%,"10,921",296,4.84%,6.36%,91.36%,96.50%,85,4,1.13%,1.99%,"₹6,35,695.00","₹29,888.00",85,4
B008AXYWHQ,B008AXYWHQ,Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401,"7,472",121,4.45%,3.63%,"10,995",198,4.87%,4.25%,99.39%,98.08%,77,0,1.03%,0.00%,"₹7,61,369.00",₹0.00,75,0
B00AG37H8Y,B00AG37H8Y,"Fossil Analog White Dial Men's Watch-FS4795 Stainless Steel, Multicolor Strap","14,265",300,8.50%,9.00%,"19,260",427,8.53%,9.17%,99.91%,100.00%,35,0,0.25%,0.00%,"₹4,92,796.00",₹0.00,35,0
B00NVAWTLY,B00NVAWTLY,"Fossil Nate Analog Black Dial Men's Watch-JR1487 Genuine Leather, Brown Strap","1,613",24,0.96%,0.72%,"2,417",47,1.07%,1.01%,89.62%,90.48%,23,1,1.43%,4.17%,"₹2,15,981.00","₹10,147.00",23,1
B07CSNG8XL,B07CSNG8XL,Fossil Carlie Analog White Dial Women's Watch - ES4433,"1,910",23,1.14%,0.69%,"2,666",42,1.18%,0.90%,87.66%,92.86%,20,0,1.05%,0.00%,"₹1,89,880.00",₹0.00,20,0
B08K969L6V,B08K969L6V,"Saregama Carvaan Mini Kids - Pre-Loaded with Stories, Rhymes, Learnings, Mantras with Bluetooth/USB/Aux in-Out","2,233",56,1.33%,1.68%,"3,266",88,1.45%,1.89%,12.34%,16.28%,19,0,0.85%,0.00%,"₹54,230.00",₹0.00,19,0
B06VV5QB6Q,B06VV5QB6Q,"Fossil Analog Black Dial Men's Watch-FS5308 Stainless Steel, Black Strap","2,315",38,1.38%,1.14%,"3,021",59,1.34%,1.27%,83.04%,92.86%,16,1,0.69%,2.63%,"₹1,51,888.00","₹9,493.00",15,1
B07N6KCJM4,B07N6KCJM4,Saregama Carvaan Mini 2.0 Telugu- Music Player with Bluetooth/FM/AM/AUX (Sunset Red),"1,101",22,0.66%,0.66%,"1,548",37,0.69%,0.79%,50.19%,54.55%,15,0,1.36%,0.00%,"₹37,350.00",₹0.00,15,0
B00AFTTQQ0,B00AFTTQQ0,Fossil Grant Chronograph Black Dial Men's Watch-FS4812,"2,344",39,1.40%,1.17%,"3,513",47,1.56%,1.01%,97.56%,100.00%,11,0,0.47%,0.00%,"₹93,561.00",₹0.00,11,0
B0FTMM455Z,B0FTMM455Z,Fossil Raquel Gold Quartz Stainless Steel Watch ES5452,"1,337",19,0.80%,0.57%,"1,914",27,0.85%,0.58%,86.89%,100.00%,9,0,0.67%,0.00%,"₹1,21,455.00",₹0.00,9,0
