(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B086K654H9,B086K654H9,"Fossil Gwen Analogue Women's Watch (Gold Dial Womens Standard Colored)-Es4879 Gold Plated, Gold Strap - Gold-Plated","3,509",81,2.24%,2.76%,"5,812",127,2.76%,3.08%,83.82%,77.33%,57,0,1.62%,0.00%,"₹4,44,429.00",₹0.00,57,0
B01KNMEVDG,B01KNMEVDG,Fossil Grant Sport Blue Watch FS5237,"7,099",135,4.54%,4.60%,"10,165",218,4.83%,5.30%,99.90%,100.00%,47,1,0.66%,0.74%,"₹3,66,459.00","₹7,797.00",46,1
B00EVZ83J0,B00EVZ83J0,"Fossil Decker Brown Watch Ch2885 - Chronograph, Men, Leather","5,404",123,3.45%,4.19%,"7,533",156,3.58%,3.79%,99.91%,100.00%,41,0,0.76%,0.00%,"₹3,21,880.00",₹0.00,39,0
B00DUCIUDY,B00DUCIUDY,Fossil Decker Rose Gold Watch ES3352,"2,422",53,1.55%,1.81%,"3,955",88,1.88%,2.14%,81.68%,79.49%,40,3,1.65%,5.66%,"₹2,87,880.00","₹21,591.00",38,3
B008AXYWHQ,B008AXYWHQ,Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401,"8,266",143,5.28%,4.88%,"11,576",206,5.50%,5.00%,99.78%,100.00%,36,0,0.44%,0.00%,"₹4,60,656.00",₹0.00,36,0
B0846PJPW9,B0846PJPW9,Armani Exchange Black Dial Analog Men's Watch,"3,076",53,1.97%,1.81%,"4,274",79,2.03%,1.92%,99.97%,100.00%,23,3,0.75%,5.66%,"₹1,85,081.00","₹24,141.00",20,2
B00AG37H8Y,B00AG37H8Y,"Fossil Analog White Dial Men's Watch-FS4795 Stainless Steel, Multicolor Strap","4,041",93,2.58%,3.17%,"5,750",123,2.73%,2.99%,99.86%,100.00%,15,0,0.37%,0.00%,"₹2,17,425.00",₹0.00,15,0
B0CDPP45BM,B0CDPP45BM,"NexLev Steam Cleaner | For Complete Home Kitchen Bathroom Car Sofa & Office Cleaning Machine | 9 Accessories |300 ML | Window Pane, Sink, Chimney Grease, Water Stain Cleaner| 4 Mtr Cord | 1000W |SC-01","4,897",68,3.13%,2.32%,"6,538",97,3.11%,2.36%,37.70%,75.00%,16,3,0.33%,4.41%,"₹57,584.00","₹10,797.00",15,2
B0DKJJDZSF,B0DKJJDZSF,Armani Exchange Analog Gray Dial Men's Watch-AX2462,"1,287",28,0.82%,0.95%,"1,852",53,0.88%,1.29%,95.18%,100.00%,13,2,1.01%,7.14%,"₹1,29,974.00","₹19,996.00",13,2
B0DJ2XHK2N,B0DJ2XHK2N,Fossil Women's Scarlette Multicolor Analog Quartz Stainless Steel Watch ES5388,"3,045",34,1.95%,1.16%,"4,249",39,2.02%,0.95%,98.65%,100.00%,12,0,0.39%,0.00%,"₹1,43,940.00",₹0.00,12,0
B07CSNG8XL,B07CSNG8XL,Fossil Carlie Analog White Dial Women's Watch - ES4433,"1,617",23,1.03%,0.78%,"2,172",37,1.03%,0.90%,93.88%,100.00%,10,3,0.62%,13.04%,"₹94,950.00","₹28,485.00",10,3
B07M7P7VLX,B07M7P7VLX,Fossil Women's Analog Watch (Black),"1,195",25,0.76%,0.85%,"1,648",54,0.78%,1.31%,78.85%,96.43%,10,0,0.84%,0.00%,"₹94,470.00",₹0.00,10,0
B0FCVPBY7Y,B0FCVPBY7Y,Fossil Grant Multicolor Quartz Stainless Steel Watch FS6131,"1,530",38,0.98%,1.30%,"2,316",56,1.10%,1.36%,66.60%,76.47%,9,1,0.59%,2.63%,"₹1,30,455.00","₹14,495.00",9,1
B004D4S7AY,B004D4S7AY,Fossil Analog Gold Dial Women's Watch - ES2811,"4,678",58,2.99%,1.98%,"6,394",97,3.04%,2.36%,98.61%,100.00%,8,0,0.17%,0.00%,"₹1,07,956.00",₹0.00,8,0
B00WM0CF4A,B00WM0CF4A,Fossil Women's ES3843 Jacqueline Analog Quartz Blue Watch,"1,039",18,0.66%,0.61%,"1,394",34,0.66%,0.83%,97.00%,100.00%,7,0,0.67%,0.00%,"₹69,965.00",₹0.00,7,0
B007NM84PQ,B007NM84PQ,Fossil Women Jesse Analog Rose Gold Dial Watch - ES3020,"1,802",35,1.15%,1.19%,"2,325",48,1.10%,1.17%,93.89%,95.45%,6,1,0.33%,2.86%,"₹71,966.00","₹11,993.00",6,1
B0DKJHSD8R,B0DKJHSD8R,Armani Exchange Analog Gray Dial Men's Stainless Steel Watch-AX4184,"3,247",60,2.07%,2.05%,"4,309",81,2.05%,1.97%,98.03%,100.00%,6,0,0.18%,0.00%,"₹95,970.00",₹0.00,6,0
B0FN4DSQ6P,B0FN4DSQ6P,"White Mulberry Premium Economy Fixed TV Wall Mount Bracket for 32-65 Inches |45kg| LED/LCD/OLED/Smart & Curved TV's, VESA 50x50, 400x400 MAX, Slim Wall Stand",205,13,0.13%,0.44%,308,17,0.15%,0.41%,36.59%,33.33%,6,0,2.93%,0.00%,"₹4,644.00",₹0.00,6,0
B00AFTTQQ0,B00AFTTQQ0,Fossil Grant Chronograph Black Dial Men's Watch-FS4812,"1,291",20,0.83%,0.68%,"1,854",33,0.88%,0.80%,87.21%,100.00%,5,0,0.39%,0.00%,"₹45,485.00",₹0.00,5,0
B00NVAWTLY,B00NVAWTLY,"Fossil Nate Analog Black Dial Men's Watch-JR1487 Genuine Leather, Brown Strap","1,461",22,0.93%,0.75%,"2,020",30,0.96%,0.73%,68.85%,71.43%,5,0,0.34%,0.00%,"₹57,980.00",₹0.00,5,0
B08QVCPDVT,B08QVCPDVT,Fossil Neutra Silver Watch FS5792,"1,237",16,0.79%,0.55%,"1,653",19,0.79%,0.46%,93.31%,85.71%,5,0,0.40%,0.00%,"₹72,475.00",₹0.00,5,0
B0DKJJBBTS,B0DKJJBBTS,Armani Exchange Analog Gray Dial Men's Stainless Steel Watch-AX1885,"1,867",16,1.19%,0.55%,"2,355",22,1.12%,0.53%,85.88%,90.91%,5,0,0.27%,0.00%,"₹42,490.00",₹0.00,5,0
