(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0DKJH623H,B0DKJH623H,Armani Exchange Analog Black Dial Men's Stainless Steel Watch-AX2461,412,8,0.25%,0.28%,576,12,0.26%,0.29%,90.94%,100.00%,4,0,0.97%,0.00%,"₹43,188.00",₹0.00,4,0
B0DM66B2DW,B0DM66B2DW,"NexLev Knee Massager for Joint Pain Relief |Controlled Vibration & Heating for Arthritis, Knee, Shoulder or Elbow pain | 15 modes |2 Extension Belt |Graphene Heating pad for Consistent Heating | KM-01",220,10,0.14%,0.35%,299,13,0.14%,0.32%,75.97%,100.00%,4,1,1.82%,10.00%,"₹5,796.00","₹1,449.00",4,1
B0DSBQCZTK,B0DSBQCZTK,Armani Exchange Men Analogue Black Band Black Quartz Stainless Steel Watch AX2463,"1,692",36,1.04%,1.26%,"2,404",68,1.10%,1.65%,98.49%,100.00%,4,1,0.24%,2.78%,"₹95,980.00","₹23,995.00",4,1
B0FCVPBY7Y,B0FCVPBY7Y,Fossil Grant Multicolor Quartz Stainless Steel Watch FS6131,"1,028",40,0.63%,1.40%,"1,548",61,0.71%,1.48%,70.70%,80.00%,4,0,0.39%,0.00%,"₹57,980.00",₹0.00,4,0
B0FCVRKB8C,B0FCVRKB8C,Fossil Grant Multicolor Quartz Stainless Steel Watch FS6132,218,4,0.13%,0.14%,291,7,0.13%,0.17%,91.51%,100.00%,4,1,1.83%,25.00%,"₹57,980.00","₹14,495.00",4,1
B07MM5MH6F,B07MM5MH6F,"Fossil Watch, Black, Free Size, (FS5512)",752,12,0.46%,0.42%,975,17,0.45%,0.41%,98.66%,100.00%,3,1,0.40%,8.33%,"₹38,985.00","₹12,995.00",3,1
B0CDPP45BM,B0CDPP45BM,"NexLev Steam Cleaner | For Complete Home Kitchen Bathroom Car Sofa & Office Cleaning Machine | 9 Accessories |300 ML | Window Pane, Sink, Chimney Grease, Water Stain Cleaner| 4 Mtr Cord | 1000W |SC-01","3,459",86,2.13%,3.01%,"4,807",131,2.21%,3.18%,4.35%,13.33%,3,1,0.09%,1.16%,"₹10,797.00","₹3,599.00",3,1
B0CRD1DRXG,B0CRD1DRXG,"Fossil Men Townsman Silver Automatic Stainless Steel Analogue Watch Me3260, Blue Dial, Silver Band","1,876",45,1.16%,1.58%,"2,332",62,1.07%,1.51%,95.68%,97.37%,3,1,0.16%,2.22%,"₹65,985.00","₹21,995.00",3,1
B0D853Y52R,B0D853Y52R,"Armani Exchange Stainless Steel Analog Black Dial Men's Watch-Ax4181, Band Color:Multicolor",343,8,0.21%,0.28%,471,9,0.22%,0.22%,85.47%,85.71%,3,0,0.87%,0.00%,"₹47,985.00",₹0.00,3,0
B0FTK3KCY6,B0FTK3KCY6,Fossil Campbell Silver Quartz Stainless Steel Watch FS6140,92,1,0.06%,0.04%,144,1,0.07%,0.02%,97.64%,100.00%,3,0,3.26%,0.00%,"₹35,985.00",₹0.00,3,0
B0FTML3VHG,B0FTML3VHG,Fossil Harlow Gold Quartz Stainless Steel Watch ES5451,371,10,0.23%,0.35%,508,15,0.23%,0.36%,98.62%,100.00%,3,0,0.81%,0.00%,"₹40,485.00",₹0.00,3,0
B00AFTT8KE,B00AFTT8KE,"Fossil Analog Silver Dial Women's Watch - ES3284 Stainless Steel, Gold Strap",493,4,0.30%,0.14%,688,4,0.32%,0.10%,95.45%,100.00%,2,0,0.41%,0.00%,"₹25,990.00",₹0.00,2,0
B078Y2PJL4,B078Y2PJL4,"Fossil Stainless Steel Women Karli Rose Gold Dial Analog Watch Bq3181, Rose Gold Band",196,7,0.12%,0.25%,257,8,0.12%,0.19%,64.41%,66.67%,2,0,1.02%,0.00%,"₹16,794.00",₹0.00,2,0
B07M7P7VLX,B07M7P7VLX,Fossil Women's Analog Watch (Black),859,10,0.53%,0.35%,"1,181",19,0.54%,0.46%,81.40%,71.43%,2,0,0.23%,0.00%,"₹18,894.00",₹0.00,2,0
B07MFZ6S2Q,B07MFZ6S2Q,Fossil Neutra Analog Black Dial and Band Men's Stainless Steel Watch-FS5525,677,12,0.42%,0.42%,947,18,0.43%,0.44%,94.56%,100.00%,2,0,0.30%,0.00%,"₹28,990.00",₹0.00,2,0
B08R6P2518,B08R6P2518,Fossil Men Leather Everett Black Card Case Ml4398001,194,1,0.12%,0.04%,224,1,0.10%,0.02%,81.02%,0.00%,2,0,1.03%,0.00%,"₹2,990.00",₹0.00,2,0
B09NC2NFR9,B09NC2NFR9,"Fossil Machine Analog Black Dial Men's Watch-FS5901 Genuine Leather, Brown Strap",203,1,0.13%,0.04%,314,1,0.14%,0.02%,88.81%,0.00%,2,0,0.99%,0.00%,"₹23,990.00",₹0.00,2,0
B0CRDG22TQ,B0CRDG22TQ,"Fossil Women Neutra Brown Quartz Leather Chronograph Watch Es5278, Dial-Color:Off-White, Band Color:Brown",582,6,0.36%,0.21%,787,8,0.36%,0.19%,97.27%,100.00%,2,0,0.34%,0.00%,"₹23,990.00",₹0.00,2,0
B0CRSQDJJ5,B0CRSQDJJ5,"Michael Kors Analog Green Dial Men's Stainless Steel Watch-Mk9152, Band Color:Silver",155,4,0.10%,0.14%,216,4,0.10%,0.10%,89.01%,66.67%,2,0,1.29%,0.00%,"₹45,990.00",₹0.00,2,0
B0CZ91YKMP,B0CZ91YKMP,Fossil Blue Dive Gold Watch ES5350,62,2,0.04%,0.07%,92,2,0.04%,0.05%,92.00%,50.00%,2,0,3.23%,0.00%,"₹31,990.00",₹0.00,2,0
B0D955L5S7,B0D955L5S7,Michael Kors Lexington Gold Watch MK4842,271,2,0.17%,0.07%,371,2,0.17%,0.05%,98.70%,100.00%,2,0,0.74%,0.00%,"₹36,990.00",₹0.00,2,0
B0DJ2V3TH2,B0DJ2V3TH2,Fossil Men's Everett Gold Quartz Analog Stainless Steel Watch FS6090,556,9,0.34%,0.32%,728,10,0.33%,0.24%,91.27%,100.00%,2,0,0.36%,0.00%,"₹26,990.00",₹0.00,2,0
B0DJ2XNSD2,B0DJ2XNSD2,Fossil Men's Townsman Brown Analog Automatic Leather Watch ME3266,"1,022",18,0.63%,0.63%,"1,304",24,0.60%,0.58%,82.48%,100.00%,2,1,0.20%,5.56%,"₹38,990.00","₹19,495.00",2,1
B0DT2Q1R2H,B0DT2Q1R2H,Emporio Armani Black Quartz Leather Watch AR11666,426,9,0.26%,0.32%,611,11,0.28%,0.27%,98.22%,100.00%,2,0,0.47%,0.00%,"₹31,990.00",₹0.00,2,0
B0FFDLZV1H,B0FFDLZV1H,Armani Exchange Gold Quartz Stainless Steel Watch AX2822,212,5,0.13%,0.18%,326,7,0.15%,0.17%,98.22%,100.00%,2,0,0.94%,0.00%,"₹35,990.00",₹0.00,2,0
B0FTMM455Z,B0FTMM455Z,Fossil Raquel Gold Quartz Stainless Steel Watch ES5452,607,9,0.37%,0.32%,898,11,0.41%,0.27%,98.45%,100.00%,2,0,0.33%,0.00%,"₹26,990.00",₹0.00,2,0
B00FF8CDSO,B00FF8CDSO,"Fossil Leather Virginia Analog Gold Dial Women's Watch-Es3405, Band Color:Multicolor",10,0,0.01%,0.00%,19,0,0.01%,0.00%,62.50%,0.00%,1,0,10.00%,0.00%,"₹9,097.00",₹0.00,1,0
B01GZZZ328,B01GZZZ328,Emporio Armani Luigi Analog White Dial Men's Watch - AR2502,302,5,0.19%,0.18%,385,8,0.18%,0.19%,98.56%,100.00%,1,0,0.33%,0.00%,"₹14,495.00",₹0.00,1,0
B079XB5RXH,B079XB5RXH,Michael Kors Ritz Analogue Women's Watch (Rose Gold Dial Rose Gold Colored Strap),792,21,0.49%,0.74%,"1,121",42,0.51%,1.02%,99.39%,100.00%,1,0,0.13%,0.00%,"₹24,495.00",₹0.00,1,0
B07LDHVWTF,B07LDHVWTF,Saregama Carvaan Mini 2.0 Gurbani- Music Player with Bluetooth/FM/AM/AUX (Saffron Orange),"1,277",39,0.79%,1.37%,"1,831",57,0.84%,1.39%,0.90%,0.00%,1,0,0.08%,0.00%,"₹2,485.00",₹0.00,1,0
