(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B008AXYWHQ,B008AXYWHQ,Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401,"14,092",308,7.67%,8.71%,"20,623",544,8.23%,10.80%,97.42%,94.42%,126,3,0.89%,0.97%,"₹11,70,834.00","₹28,791.00",122,3
B00EVZ83J0,B00EVZ83J0,"Fossil Decker Brown Watch Ch2885 - Chronograph, Men, Leather","9,191",177,5.00%,5.00%,"13,792",256,5.51%,5.08%,99.88%,100.00%,108,0,1.18%,0.00%,"₹7,44,876.00",₹0.00,108,0
B00AG37H8Y,B00AG37H8Y,"Fossil Analog White Dial Men's Watch-FS4795 Stainless Steel, Multicolor Strap","13,516",312,7.35%,8.82%,"18,653",447,7.45%,8.88%,99.93%,100.00%,28,0,0.21%,0.00%,"₹4,05,832.00",₹0.00,28,0
B00AFTTQQ0,B00AFTTQQ0,Fossil Grant Chronograph Black Dial Men's Watch-FS4812,"3,510",67,1.91%,1.89%,"5,380",93,2.15%,1.85%,99.87%,93.02%,27,0,0.77%,0.00%,"₹2,10,519.00",₹0.00,27,0
B00NVAWTLY,B00NVAWTLY,"Fossil Nate Analog Black Dial Men's Watch-JR1487 Genuine Leather, Brown Strap","2,240",44,1.22%,1.24%,"3,509",88,1.40%,1.75%,92.32%,80.95%,27,2,1.21%,4.55%,"₹2,34,819.00","₹17,394.00",27,2
B004D4S7AY,B004D4S7AY,Fossil Analog Gold Dial Women's Watch - ES2811,"3,963",61,2.16%,1.72%,"5,602",78,2.24%,1.55%,72.98%,79.59%,21,0,0.53%,0.00%,"₹2,83,374.00",₹0.00,21,0
B0FCVPBY7Y,B0FCVPBY7Y,Fossil Grant Multicolor Quartz Stainless Steel Watch FS6131,"4,605",137,2.51%,3.87%,"6,541",229,2.61%,4.55%,91.62%,92.62%,20,2,0.43%,1.46%,"₹2,89,900.00","₹28,990.00",20,2
B0DKJH623H,B0DKJH623H,Armani Exchange Analog Black Dial Men's Stainless Steel Watch-AX2461,"3,572",83,1.94%,2.35%,"4,917",99,1.96%,1.97%,60.29%,53.19%,15,0,0.42%,0.00%,"₹1,61,955.00",₹0.00,15,0
B0D936GPVL,B0D936GPVL,Fossil Harlow Gold Watch ES5361,"1,866",20,1.02%,0.57%,"2,401",21,0.96%,0.42%,91.60%,100.00%,14,0,0.75%,0.00%,"₹1,88,916.00",₹0.00,14,0
B06VV5QB6Q,B06VV5QB6Q,"Fossil Analog Black Dial Men's Watch-FS5308 Stainless Steel, Black Strap","1,796",26,0.98%,0.74%,"2,288",34,0.91%,0.68%,77.20%,89.47%,12,0,0.67%,0.00%,"₹1,13,916.00",₹0.00,12,0
B07M7P7VLX,B07M7P7VLX,Fossil Women's Analog Watch (Black),"1,411",28,0.77%,0.79%,"2,008",33,0.80%,0.66%,99.77%,100.00%,12,0,0.85%,0.00%,"₹97,164.00",₹0.00,12,0
