(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B00EVZ83J0,B00EVZ83J0,"Fossil Decker Brown Watch Ch2885 - Chronograph, Men, Leather","5,643",122,3.44%,4.02%,"8,105",162,3.68%,3.87%,99.87%,100.00%,46,0,0.82%,0.00%,"₹3,50,615.00",₹0.00,44,0
B00AG37H8Y,B00AG37H8Y,"Fossil Analog White Dial Men's Watch-FS4795 Stainless Steel, Multicolor Strap","12,883",233,7.84%,7.67%,"17,579",298,7.98%,7.13%,99.87%,100.00%,41,0,0.32%,0.00%,"₹5,94,254.00",₹0.00,41,0
B008AXYWHQ,B008AXYWHQ,Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401,"9,405",164,5.73%,5.40%,"13,445",238,6.11%,5.69%,98.87%,99.03%,37,1,0.39%,0.61%,"₹3,96,689.00","₹11,197.00",36,1
B0FCVPBY7Y,B0FCVPBY7Y,Fossil Grant Multicolor Quartz Stainless Steel Watch FS6131,"3,042",104,1.85%,3.42%,"4,266",167,1.94%,3.99%,73.64%,74.74%,16,2,0.53%,1.92%,"₹2,31,920.00","₹28,990.00",16,2
B00AFTTQQ0,B00AFTTQQ0,Fossil Grant Chronograph Black Dial Men's Watch-FS4812,"2,305",61,1.40%,2.01%,"3,274",77,1.49%,1.84%,98.83%,11.76%,13,0,0.56%,0.00%,"₹1,16,961.00",₹0.00,13,0
B0DKJHSD8R,B0DKJHSD8R,Armani Exchange Analog Gray Dial Men's Stainless Steel Watch-AX4184,"3,275",55,1.99%,1.81%,"4,431",69,2.01%,1.65%,98.05%,83.72%,12,1,0.37%,1.82%,"₹1,91,928.00","₹15,994.00",12,1
B06VV5QB6Q,B06VV5QB6Q,"Fossil Analog Black Dial Men's Watch-FS5308 Stainless Steel, Black Strap","1,684",23,1.03%,0.76%,"2,231",24,1.01%,0.57%,84.52%,87.50%,13,0,0.77%,0.00%,"₹1,23,409.00",₹0.00,11,0
B07CSNG8XL,B07CSNG8XL,Fossil Carlie Analog White Dial Women's Watch - ES4433,"1,746",29,1.06%,0.95%,"2,391",37,1.09%,0.88%,90.24%,100.00%,9,2,0.52%,6.90%,"₹85,446.00","₹18,988.00",9,2
B00NVAWTLY,B00NVAWTLY,"Fossil Nate Analog Black Dial Men's Watch-JR1487 Genuine Leather, Brown Strap","2,376",43,1.45%,1.42%,"3,343",60,1.52%,1.44%,97.98%,100.00%,7,0,0.29%,0.00%,"₹69,579.00",₹0.00,7,0
B0D936GPVL,B0D936GPVL,Fossil Harlow Gold Watch ES5361,"1,967",35,1.20%,1.15%,"2,509",49,1.14%,1.17%,91.23%,92.31%,7,0,0.36%,0.00%,"₹94,458.00",₹0.00,7,0
B0DKJH623H,B0DKJH623H,Armani Exchange Analog Black Dial Men's Stainless Steel Watch-AX2461,"2,357",47,1.44%,1.55%,"3,399",56,1.54%,1.34%,37.36%,42.86%,7,0,0.30%,0.00%,"₹75,579.00",₹0.00,7,0
B01487C7CO,B01487C7CO,Fossil Analog Brown Dial Men's Leather Band Watch - ME3098,"4,861",70,2.96%,2.30%,"5,963",88,2.71%,2.10%,91.74%,82.61%,6,0,0.12%,0.00%,"₹1,19,970.00",₹0.00,6,0
B07M7P7VLX,B07M7P7VLX,Fossil Women's Analog Watch (Black),"1,059",19,0.64%,0.63%,"1,441",26,0.65%,0.62%,99.92%,100.00%,7,0,0.66%,0.00%,"₹58,029.00",₹0.00,6,0
B07N6KCJM4,B07N6KCJM4,Saregama Carvaan Mini 2.0 Telugu- Music Player with Bluetooth/FM/AM/AUX (Sunset Red),941,18,0.57%,0.59%,"1,280",30,0.58%,0.72%,7.52%,17.65%,6,0,0.64%,0.00%,"₹14,940.00",₹0.00,6,0
B08K969L6V,B08K969L6V,"Saregama Carvaan Mini Kids - Pre-Loaded with Stories, Rhymes, Learnings, Mantras with Bluetooth/USB/Aux in-Out","2,150",58,1.31%,1.91%,"3,249",100,1.48%,2.39%,0.80%,0.00%,6,0,0.28%,0.00%,"₹19,140.00",₹0.00,6,0
B0DSBSD26P,B0DSBSD26P,Fossil Chronograph Men Neutra Grey Quartz Stainless Steel Blue Dial Watch FS6111,685,14,0.42%,0.46%,961,23,0.44%,0.55%,91.28%,100.00%,6,0,0.88%,0.00%,"₹86,964.00",₹0.00,6,0
B0FTMM455Z,B0FTMM455Z,Fossil Raquel Gold Quartz Stainless Steel Watch ES5452,"1,450",22,0.88%,0.72%,"1,986",39,0.90%,0.93%,79.20%,89.47%,6,0,0.41%,0.00%,"₹80,970.00",₹0.00,6,0
B00AFTTQ8I,B00AFTTQ8I,Fossil Chronograph men Grant Brown Quartz Leather Watch FS4813IE,"2,192",23,1.33%,0.76%,"2,786",27,1.27%,0.65%,99.77%,100.00%,5,0,0.23%,0.00%,"₹64,970.00",₹0.00,5,0
B00WM0CF4A,B00WM0CF4A,Fossil Women's ES3843 Jacqueline Analog Quartz Blue Watch,"1,616",28,0.98%,0.92%,"2,165",38,0.98%,0.91%,80.74%,56.52%,5,0,0.31%,0.00%,"₹43,978.00",₹0.00,5,0
B07RMH1F26,B07RMH1F26,Saregama Carvaan Mini 2.0 Kannada- Music Player with Bluetooth/FM/AM/AUX (Sunset Red),234,11,0.14%,0.36%,334,19,0.15%,0.45%,13.67%,14.29%,5,0,2.14%,0.00%,"₹12,450.00",₹0.00,5,0
B0D8572WTJ,B0D8572WTJ,"Armani Exchange Stainless Steel Analog Black Dial Men's Watch-Ax4183, Band Color:Black",438,6,0.27%,0.20%,605,10,0.27%,0.24%,97.50%,100.00%,5,0,1.14%,0.00%,"₹79,970.00",₹0.00,5,0
B0DSBQCZTK,B0DSBQCZTK,Armani Exchange Men Analogue Black Band Black Quartz Stainless Steel Watch AX2463,"2,010",41,1.22%,1.35%,"2,755",63,1.25%,1.51%,97.39%,100.00%,5,0,0.25%,0.00%,"₹1,19,955.00",₹0.00,5,0
B007NM84PQ,B007NM84PQ,Fossil Women Jesse Analog Rose Gold Dial Watch - ES3020,"2,779",25,1.69%,0.82%,"3,490",30,1.58%,0.72%,96.74%,100.00%,4,0,0.14%,0.00%,"₹47,976.00",₹0.00,4,0
B07LDHVWTF,B07LDHVWTF,Saregama Carvaan Mini 2.0 Gurbani- Music Player with Bluetooth/FM/AM/AUX (Saffron Orange),"2,008",27,1.22%,0.89%,"2,571",43,1.17%,1.03%,16.88%,6.67%,4,1,0.20%,3.70%,"₹9,960.00","₹2,490.00",4,1
B07RZ1R1HJ,B07RZ1R1HJ,"Fossil Analog Gold Dial Women's Watch (ES4628, Multicolour)",690,13,0.42%,0.43%,974,18,0.44%,0.43%,97.82%,100.00%,4,0,0.58%,0.00%,"₹51,976.00",₹0.00,4,0
B0DC64BD5R,B0DC64BD5R,Fossil Sport Tourer Black Quartz Leather Watch FS6086,"1,074",24,0.65%,0.79%,"1,442",29,0.65%,0.69%,56.41%,72.73%,4,0,0.37%,0.00%,"₹36,238.00",₹0.00,4,0
B00HVBJ6W4,B00HVBJ6W4,Fossil Riley Analog White & Beige Dial Women's Watch -ES3466,"1,315",20,0.80%,0.66%,"1,762",38,0.80%,0.91%,99.87%,100.00%,3,0,0.23%,0.00%,"₹28,341.00",₹0.00,3,0
B0183NW5H6,B0183NW5H6,Fossil Analog Black Dial Men's Watch-FS5164,121,2,0.07%,0.07%,182,2,0.08%,0.05%,98.11%,100.00%,3,0,2.48%,0.00%,"₹27,891.00",₹0.00,3,0
B07RMH1BMS,B07RMH1BMS,Saregama SCM02 Carvaan Mini Malayalam Bluetooth Speaker (Sunset Red),326,8,0.20%,0.26%,437,14,0.20%,0.33%,26.18%,100.00%,3,2,0.92%,25.00%,"₹7,430.00","₹4,940.00",3,2
