(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B008AXYWHQ,B008AXYWHQ,Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401,"16,248",259,6.45%,5.54%,"24,232",408,6.96%,6.07%,95.84%,97.55%,143,0,0.88%,0.00%,"₹13,99,571.00",₹0.00,143,0
B00EVZ83J0,B00EVZ83J0,"Fossil Decker Brown Watch Ch2885 - Chronograph, Men, Leather","20,501",346,8.14%,7.39%,"29,413",488,8.45%,7.26%,24.14%,31.05%,48,0,0.23%,0.00%,"₹3,32,206.00",₹0.00,47,0
B004D4S7AY,B004D4S7AY,Fossil Analog Gold Dial Women's Watch - ES2811,"6,605",98,2.62%,2.09%,"9,354",153,2.69%,2.28%,92.21%,96.49%,41,1,0.62%,1.02%,"₹5,39,760.00","₹13,494.00",41,1
B00AG37H8Y,B00AG37H8Y,"Fossil Analog White Dial Men's Watch-FS4795 Stainless Steel, Multicolor Strap","11,181",267,4.44%,5.71%,"16,071",411,4.62%,6.11%,96.67%,97.04%,36,0,0.32%,0.00%,"₹5,21,784.00",₹0.00,36,0
B01KNMEVDG,B01KNMEVDG,Fossil Grant Sport Blue Watch FS5237,"23,526",437,9.34%,9.34%,"33,777",647,9.71%,9.63%,10.81%,15.56%,31,3,0.13%,0.69%,"₹2,41,707.00","₹23,391.00",31,3
B00NVAWTLY,B00NVAWTLY,"Fossil Nate Analog Black Dial Men's Watch-JR1487 Genuine Leather, Brown Strap","2,317",34,0.92%,0.73%,"3,574",63,1.03%,0.94%,90.10%,86.96%,26,0,1.12%,0.00%,"₹2,23,225.00",₹0.00,26,0
B00WM0CF4A,B00WM0CF4A,Fossil Women's ES3843 Jacqueline Analog Quartz Blue Watch,"2,564",54,1.02%,1.15%,"3,736",87,1.07%,1.29%,74.54%,77.14%,26,1,1.01%,1.85%,"₹2,17,891.00","₹9,995.00",26,1
B07M7P7VLX,B07M7P7VLX,Fossil Women's Analog Watch (Black),"2,044",32,0.81%,0.68%,"2,951",58,0.85%,0.86%,99.88%,100.00%,21,0,1.03%,0.00%,"₹1,76,787.00",₹0.00,21,0
B07CSNG8XL,B07CSNG8XL,Fossil Carlie Analog White Dial Women's Watch - ES4433,"2,404",43,0.95%,0.92%,"3,472",62,1.00%,0.92%,90.36%,100.00%,15,0,0.62%,0.00%,"₹1,42,410.00",₹0.00,15,0
B00AFTTQQ0,B00AFTTQQ0,Fossil Grant Chronograph Black Dial Men's Watch-FS4812,"2,368",36,0.94%,0.77%,"3,551",59,1.02%,0.88%,89.43%,100.00%,12,1,0.51%,2.78%,"₹97,464.00","₹7,797.00",12,1
