(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B00AG37H8Y,B00AG37H8Y,"Fossil Analog White Dial Men's Watch-FS4795 Stainless Steel, Multicolor Strap","13,389",291,6.72%,7.68%,"18,484",418,6.81%,7.72%,94.53%,100.00%,39,1,0.29%,0.34%,"₹5,65,301.00","₹14,494.00",39,1
B01KNMEVDG,B01KNMEVDG,Fossil Grant Sport Blue Watch FS5237,"23,817",616,11.96%,16.27%,"33,596",868,12.38%,16.02%,23.58%,18.94%,27,0,0.11%,0.00%,"₹2,10,497.00",₹0.00,27,0
B008AXYWHQ,B008AXYWHQ,Fossil Nate Chronograph Analog Black Dial Grey Band Men's Stainless Steel Watch - JR1401,"9,674",164,4.86%,4.33%,"13,423",221,4.95%,4.08%,95.66%,97.47%,21,1,0.22%,0.61%,"₹2,44,727.00","₹12,796.00",21,1
B004D4S7AY,B004D4S7AY,Fossil Analog Gold Dial Women's Watch - ES2811,"3,839",45,1.93%,1.19%,"5,309",60,1.96%,1.11%,97.88%,100.00%,20,1,0.52%,2.22%,"₹2,69,895.00","₹13,495.00",20,1
B0DJ2XHK2N,B0DJ2XHK2N,Fossil Women's Scarlette Multicolor Analog Quartz Stainless Steel Watch ES5388,"3,700",57,1.86%,1.51%,"5,179",86,1.91%,1.59%,96.36%,100.00%,17,1,0.46%,1.75%,"₹2,03,915.00","₹11,995.00",17,1
B00NVAWTLY,B00NVAWTLY,"Fossil Nate Analog Black Dial Men's Watch-JR1487 Genuine Leather, Brown Strap","1,691",29,0.85%,0.77%,"2,455",39,0.90%,0.72%,76.41%,79.17%,11,1,0.65%,3.45%,"₹1,17,413.00","₹10,147.00",11,1
B07CSNG8XL,B07CSNG8XL,Fossil Carlie Analog White Dial Women's Watch - ES4433,"1,694",23,0.85%,0.61%,"2,326",40,0.86%,0.74%,94.45%,100.00%,9,0,0.53%,0.00%,"₹85,451.00",₹0.00,9,0
B00WM0CF4A,B00WM0CF4A,Fossil Women's ES3843 Jacqueline Analog Quartz Blue Watch,"1,362",23,0.68%,0.61%,"1,895",39,0.70%,0.72%,96.63%,100.00%,8,0,0.59%,0.00%,"₹79,960.00",₹0.00,8,0
B0DKJHSD8R,B0DKJHSD8R,Armani Exchange Analog Gray Dial Men's Stainless Steel Watch-AX4184,"4,419",71,2.22%,1.87%,"5,927",92,2.18%,1.70%,99.29%,100.00%,8,1,0.18%,1.41%,"₹1,27,960.00","₹15,995.00",8,1
B0DKJJDZSF,B0DKJJDZSF,Armani Exchange Analog Gray Dial Men's Watch-AX2462,"1,533",31,0.77%,0.82%,"2,129",41,0.78%,0.76%,91.65%,100.00%,8,0,0.52%,0.00%,"₹79,984.00",₹0.00,8,0
B07M7P7VLX,B07M7P7VLX,Fossil Women's Analog Watch (Black),"1,243",16,0.62%,0.42%,"1,687",17,0.62%,0.31%,95.50%,83.33%,6,0,0.48%,0.00%,"₹56,682.00",₹0.00,6,0
B0DSBSD26P,B0DSBSD26P,Fossil Chronograph Men Neutra Grey Quartz Stainless Steel Blue Dial Watch FS6111,"1,458",27,0.73%,0.71%,"2,080",35,0.77%,0.65%,92.36%,100.00%,7,2,0.48%,7.41%,"₹1,01,465.00","₹28,990.00",6,1
B0DSBSGK17,B0DSBSGK17,Fossil Men Everett Multicolor Quartz Stainless Steel Green Dial Analog Watch FS6106,"1,630",41,0.82%,1.08%,"2,218",56,0.82%,1.03%,94.03%,96.88%,6,0,0.37%,0.00%,"₹95,970.00",₹0.00,6,0
B00AFTTQQ0,B00AFTTQQ0,Fossil Grant Chronograph Black Dial Men's Watch-FS4812,"1,462",23,0.73%,0.61%,"2,004",31,0.74%,0.57%,72.74%,90.00%,5,0,0.34%,0.00%,"₹45,485.00",₹0.00,5,0
B086K654H9,B086K654H9,"Fossil Gwen Analogue Women's Watch (Gold Dial Womens Standard Colored)-Es4879 Gold Plated, Gold Strap - Gold-Plated","4,336",74,2.18%,1.95%,"7,296",129,2.69%,2.38%,4.17%,3.13%,5,0,0.12%,0.00%,"₹38,975.00",₹0.00,5,0
B0D936GPVL,B0D936GPVL,Fossil Harlow Gold Watch ES5361,"3,173",37,1.59%,0.98%,"4,027",58,1.48%,1.07%,60.78%,82.76%,5,0,0.16%,0.00%,"₹67,475.00",₹0.00,5,0
B0FTMM455Z,B0FTMM455Z,Fossil Raquel Gold Quartz Stainless Steel Watch ES5452,805,16,0.40%,0.42%,"1,152",36,0.42%,0.66%,94.38%,100.00%,5,0,0.62%,0.00%,"₹67,475.00",₹0.00,5,0
B00EVZ83J0,B00EVZ83J0,"Fossil Decker Brown Watch Ch2885 - Chronograph, Men, Leather","12,366",272,6.21%,7.18%,"18,270",429,6.73%,7.92%,5.57%,8.60%,4,0,0.03%,0.00%,"₹29,888.00",₹0.00,4,0
B06VV5QB6Q,B06VV5QB6Q,"Fossil Analog Black Dial Men's Watch-FS5308 Stainless Steel, Black Strap","1,856",33,0.93%,0.87%,"2,389",48,0.88%,0.89%,94.58%,100.00%,5,0,0.27%,0.00%,"₹47,474.00",₹0.00,4,0
B08QVCPDVT,B08QVCPDVT,Fossil Neutra Silver Watch FS5792,"1,441",17,0.72%,0.45%,"1,876",27,0.69%,0.50%,95.11%,100.00%,4,0,0.28%,0.00%,"₹57,979.00",₹0.00,4,0
B0CFBB587Z,B0CFBB587Z,"Fossil Analog Multicolor Dial Men's Watch-ME3253 Stainless Steel, Black Strap","2,116",26,1.06%,0.69%,"2,790",36,1.03%,0.66%,95.28%,100.00%,4,0,0.19%,0.00%,"₹91,980.00",₹0.00,4,0
B0D9574DPS,B0D9574DPS,Fossil Neutra Gold Watch ES5358,337,3,0.17%,0.08%,496,5,0.18%,0.09%,96.15%,100.00%,4,0,1.19%,0.00%,"₹41,836.00",₹0.00,4,0
B0DSBQCZTK,B0DSBQCZTK,Armani Exchange Men Analogue Black Band Black Quartz Stainless Steel Watch AX2463,"1,515",37,0.76%,0.98%,"2,090",47,0.77%,0.87%,97.87%,100.00%,4,0,0.26%,0.00%,"₹95,976.00",₹0.00,4,0
B00AFTTQ8I,B00AFTTQ8I,Fossil Chronograph men Grant Brown Quartz Leather Watch FS4813IE,"1,505",16,0.76%,0.42%,"1,957",18,0.72%,0.33%,99.78%,100.00%,3,0,0.20%,0.00%,"₹38,984.00",₹0.00,3,0
B00AMWDOEK,B00AMWDOEK,Fossil Grant Chronograph Beige Dial Men's Watch - FS4735,"3,153",56,1.58%,1.48%,"4,027",72,1.48%,1.33%,97.48%,100.00%,3,0,0.10%,0.00%,"₹38,984.00",₹0.00,3,0
B01487C7CO,B01487C7CO,Fossil Analog Brown Dial Men's Leather Band Watch - ME3098,"4,724",85,2.37%,2.24%,"5,868",99,2.16%,1.83%,96.64%,97.83%,3,0,0.06%,0.00%,"₹59,984.00",₹0.00,3,0
B07MFZ6S2Q,B07MFZ6S2Q,Fossil Neutra Analog Black Dial and Band Men's Stainless Steel Watch-FS5525,655,9,0.33%,0.24%,915,12,0.34%,0.22%,96.94%,100.00%,3,0,0.46%,0.00%,"₹43,485.00",₹0.00,3,0
B0CF61X2BG,B0CF61X2BG,Fossil Analog Blue Dial Men's Watch-Fs6029 - Stainless Steel,583,12,0.29%,0.32%,933,32,0.34%,0.59%,95.43%,100.00%,3,1,0.51%,8.33%,"₹28,341.00","₹9,447.00",3,1
B0DC64BD5R,B0DC64BD5R,Fossil Sport Tourer Black Quartz Leather Watch FS6086,696,15,0.35%,0.40%,983,18,0.36%,0.33%,88.04%,100.00%,3,0,0.43%,0.00%,"₹39,137.00",₹0.00,3,0
B0DJ2Z41C1,B0DJ2Z41C1,Emporio Armani Analog Green Dial Men's Watch-AR11640,93,1,0.05%,0.03%,179,1,0.07%,0.02%,100.00%,100.00%,3,0,3.23%,0.00%,"₹48,591.00",₹0.00,3,0
B0DSBRWZ8N,B0DSBRWZ8N,Fossil Chronograph Men Neutra Brown Quartz Leather Gold Dial Watch FS6113,732,16,0.37%,0.42%,"1,004",22,0.37%,0.41%,94.38%,100.00%,3,0,0.41%,0.00%,"₹31,189.00",₹0.00,3,0
B001J1772I,B001J1772I,Diesel Mega Chief Analog Grey Over sized dial Men's Watch - DZ1206,408,6,0.20%,0.16%,535,12,0.20%,0.22%,96.34%,100.00%,2,0,0.49%,0.00%,"₹27,990.00",₹0.00,2,0
B007NM84PQ,B007NM84PQ,Fossil Women Jesse Analog Rose Gold Dial Watch - ES3020,"1,986",18,1.00%,0.48%,"2,514",31,0.93%,0.57%,97.36%,100.00%,2,0,0.10%,0.00%,"₹23,990.00",₹0.00,2,0
B00944CXEY,B00944CXEY,Michael Kors Darci Analog Silver Dial Women's Watch - MK3190,190,1,0.10%,0.03%,279,1,0.10%,0.02%,92.89%,0.00%,2,0,1.05%,0.00%,"₹40,990.00",₹0.00,2,0
