sku,fnsku,asin,product-name,condition,your-price,mfn-listing-exists,mfn-fulfillable-quantity,afn-listing-exists,afn-warehouse-quantity,afn-fulfillable-quantity,afn-unsellable-quantity,afn-reserved-quantity,afn-total-quantity,per-unit-volume,afn-inbound-working-quantity,afn-inbound-shipped-quantity,afn-inbound-receiving-quantity,afn-researching-quantity,afn-reserved-future-supply,afn-future-supply-buyable,store
FBA76388,X001MU9GVJ,B0BF4VRJJ1,White Mulberry L-Shape Corner Desk with Shelf|DIY Assembly| Monitor Raising Shelf | Engineered Wood & Sturdy Steel Leg|Perfect for Computer Table Office Home Gaming Study Desk|L(130+130)*45 * 77cm|CF,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA76389,X001MUCLYN,B0BF4XF7SD,"White Mulberry Computer Table with Bookshelf | Study Table with Storage | Laptop Desk | Writing Table | E2 MDF Board | Strong & Sturdy Iron Leg | Use in Office, Workstation, Home | Oak | 120*50*144cm",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA76390,X001MU9UOR,B0BF4WQNJR,"White Mulberry Computer Table with Bookshelf | Study Table with Storage | Laptop Desk | Writing Table | E2 MDF Board | Strong & Sturdy Iron Leg | Use in Office, Workstation or Home |Oak| 100*50*144cm",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA76391,X001MU9QD7,B0BF4WQNJR,"White Mulberry Computer Table with Bookshelf | Study Table with Storage | Laptop Desk | Writing Table | E2 MDF Board | Strong & Sturdy Iron Leg | Use in Office, Workstation or Home |Oak| 100*50*144cm",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA76407,X001MW3IG1,B0BFBMCTXQ,White Mulberry 36 Pair Over The Door Shoe Rack | Fold up-Non Slip Bars | Hang/Wall-Mount | Strong & Durable White Resin Frame Metal Tubes | Store All Types of Footwares | White | 57 * 19 * 182cm,NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA76408,X001MW1T1H,B0BFBLLZJG,"White Mulberry 36 Pair Over The Door Shoe Rack | Hang & Wall-Mount | Strong & Durable White Resin Frame | Metal Tubes | Store Shoes, Sandals, High Heels & Wedges | White - Style 2 | 57 * 19 * 182cm",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA76409,X001MWNA1T,B0BFDW7HY5,"White Mulberry Foldable Luggage Rack - Set Of 2 | Suitcase Holder | Travel Bag Holder | Strong & Durable Metal Leg, Nylon Strap | Convinient to carry, Store | X Shape Structure | Black | 58*39*65cm",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA76410,X001MWTYP5,B0BFF9KB2T,"White Mulberry 3 Drawer Cart | Rolling Multiutility Cart | 3 Multipurpose Organizers | Metal Body, Non Woven Fabric | 2 Lockable Wheels | for Home, Office, Laundry, School | Black | 44 * 33 * 89cm",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA76411,X001MWXG4Z,B0BFFD156C,"White Mulberry 4 Tier Shoe Rack with Holding Capacity of 20 Pairs | 36"" Wide | Strong & Durable Non-Slip Racks | Made of White Epoxy Coated Metal | Stores all kind of Footwears | White | 91*23*48cm",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
FBA76412,X001O0WILR,B0BLVB8VTH,"White Mulberry Expandable/Stackable Shoe Rack | Strong & Durable Non-Slip Racks | Made of White Epoxy Coated Metal | Expands from 24""-48"" l Stores All Kind of Footwears | White | L(61-114)*22 * 36cm",NewItem,,No,,Yes,0,0,0,0,0,,0,0,0,0,0,0,
