PO,Order date,Last updated,PO Status,Confirmation Status,Ship-to location,ASIN,SKU,Model,Brand,Accepted quantity,Received quantity,Remaining quantity,Cancelled quantity,Cost,Currency,Total accepted cost,Total remaining cost,Receive Status
8X7GXGGS,2026-04-06T01:22:49Z,2026-06-04T14:35:28Z,CLOSED,ACCEPTED,ISK3,B0B4DS678Q,FBA75676,AM-C4,Audio Array,1,0,1,0,1548.9,INR,1548.9,1548.9,NOT_RECEIVED
8X7GXGGS,2026-04-06T01:22:49Z,2026-06-04T14:35:28Z,CLOSED,ACCEPTED,ISK3,B0B4G8PH2P,FBA75678,AA-01,Audio Array,5,1,4,0,1467.58,INR,7337.9,5870.32,RECEIVED
8X7GXGGS,2026-04-06T01:22:49Z,2026-06-04T14:35:28Z,CLOSED,ACCEPTED,ISK3,B0BQ7H7418,FBA76597,AA-06,Audio Array,1,0,1,0,933.69,INR,933.69,933.69,NOT_RECEIVED
8X7GXGGS,2026-04-06T01:22:49Z,2026-06-04T14:35:28Z,CLOSED,ACCEPTED,ISK3,B0CBC7QMNV,FBA78925,AM-C11X,Audio Array,1,0,1,0,2726,INR,2726.0,2726.0,NOT_RECEIVED
8X7GXGGS,2026-04-06T01:22:49Z,2026-06-04T14:35:28Z,CLOSED,ACCEPTED,ISK3,B0B4G59Y8W,FBA75689,AM-W13,Audio Array,4,0,4,0,1616.28,INR,6465.12,6465.12,NOT_RECEIVED
8X7GXGGS,2026-04-06T01:22:49Z,2026-06-04T14:35:28Z,CLOSED,ACCEPTED,ISK3,B0D3Q2T5XX,FBA79356,AA-19WL,Audio Array,3,0,3,0,3202.75,INR,9608.25,9608.25,NOT_RECEIVED
8X7GXGGS,2026-04-06T01:22:49Z,2026-06-04T14:35:28Z,CLOSED,ACCEPTED,ISK3,B0G53M9258,FBA79968,AI-14,Audio Array,12,3,9,0,4893.37,INR,58720.44,44040.33,RECEIVED
8X7GXGGS,2026-04-06T01:22:49Z,2026-06-04T14:35:28Z,CLOSED,ACCEPTED,ISK3,B0FF9R3GKK,FBA79783,AM-C47,Audio Array,1,0,1,0,2222.63,INR,2222.63,2222.63,NOT_RECEIVED
8VGMXDVE,2026-03-16T01:49:53Z,2026-04-17T14:42:10Z,CLOSED,ACCEPTED,ISK3,B0FF9R3GKK,FBA79783,AM-C47,Audio Array,1,0,1,0,2222.63,INR,2222.63,2222.63,NOT_RECEIVED
8VGMXDVE,2026-03-16T01:49:53Z,2026-04-17T14:42:10Z,CLOSED,ACCEPTED,ISK3,B0FG88HVQ8,FBA79813,AH-50,Audio Array,18,0,18,0,1481.53,INR,26667.54,26667.54,NOT_RECEIVED
8USCL51J,2026-05-25T01:27:24Z,2026-05-25T14:22:30Z,OPEN,ACCEPTED,ISK3,B0CF5TCQKL,FBA78975,AA-21,Audio Array,20,0,20,0,2478.18,INR,49563.6,49563.6,NOT_RECEIVED
8UQTPT3B,2026-05-11T02:47:55Z,2026-06-13T14:35:05Z,CLOSED,ACCEPTED,ISK3,B0CM6WH4ZT,FBA79105,AI-12,Audio Array,2,0,2,0,1023.09,INR,2046.18,2046.18,NOT_RECEIVED
8UA61YIM,2026-06-01T01:25:50Z,2026-06-02T09:32:34Z,OPEN,ACCEPTED,MAA4,B0GXPBHDRF,FBA80085,M6,Audio Array,7,0,7,0,5242.94,INR,36700.579999999994,36700.579999999994,NOT_RECEIVED
8P7O2OYG,2026-01-12T01:06:34Z,2026-02-14T14:36:37Z,CLOSED,ACCEPTED,ISK3,B0BLJVJ2GN,FBA76414,AA-05,Audio Array,9,3,6,0,466.52,INR,4198.68,2799.12,RECEIVED
8P7O2OYG,2026-01-12T01:06:34Z,2026-02-14T14:36:37Z,CLOSED,ACCEPTED,ISK3,B0B4G7VWXD,FBA75684,AA-04,Audio Array,10,0,10,0,1133.89,INR,11338.900000000001,11338.900000000001,NOT_RECEIVED
8OBYE66Z,2026-06-01T02:10:00Z,2026-06-02T08:01:12Z,OPEN,ACCEPTED,CCX1,B0B4G7VWXD,FBA75684,AA-04,Audio Array,5,0,5,0,1133.9,INR,5669.5,5669.5,NOT_RECEIVED
8OBYE66Z,2026-06-01T02:10:00Z,2026-06-02T08:01:12Z,OPEN,ACCEPTED,CCX1,B0FTVVLNS9,FBA79906,PB-12 (AM-C11+AA-05+AI-04+AH-60-RD),Audio Array,4,0,4,0,8808.62,INR,35234.48,35234.48,NOT_RECEIVED
8OBYE66Z,2026-06-01T02:10:00Z,2026-06-02T08:01:12Z,OPEN,ACCEPTED,CCX1,B0DT6T6N6B,FBA79694,AA-26,Audio Array,3,0,3,0,412.5,INR,1237.5,1237.5,NOT_RECEIVED
8OBYE66Z,2026-06-01T02:10:00Z,2026-06-02T08:01:12Z,OPEN,ACCEPTED,CCX1,B0B4JRQP22,FBA75679,AA-02,Audio Array,5,0,5,0,1667.8,INR,8339.0,8339.0,NOT_RECEIVED
