asin,fnsku,product-name,fulfillment-center,country-code,longest-side,median-side,shortest-side,measurement-units,weight,weight-units,item-volume,volume-units,average-quantity-on-hand,average-quantity-pending-removal,estimated-total-item-volume,month-of-charge,storage-rate,currency,estimated-monthly-storage-fee,average-quantity-customer-orders
B0C539RBGL,X001S2C45B,"Audio Array AM-C32 Professional RGB USB Condenser Microphone with Tripod/Pop Filter & Shock Mount | No Latency Monitoring & Mute Button | For PC/Mobile, Gaming, Podcast, Streaming, Recording & Singing",DEL4,IN,21.80,12.60,8.40,centimeter,0.44,kilograms,0.0023,cubic meter,1.0,0.0,0.0023,2026-05,2083.88,INR,4.8092,0.0
B0C539RBGL,X001S2C45B,"Audio Array AM-C32 Professional RGB USB Condenser Microphone with Tripod/Pop Filter & Shock Mount | No Latency Monitoring & Mute Button | For PC/Mobile, Gaming, Podcast, Streaming, Recording & Singing",CCX1,IN,21.80,12.60,8.40,centimeter,0.44,kilograms,0.0023,cubic meter,1.0,0.0,0.0023,2026-05,2083.88,INR,4.8092,0.0
B0C539RBGL,X001S2C45B,"Audio Array AM-C32 Professional RGB USB Condenser Microphone with Tripod/Pop Filter & Shock Mount | No Latency Monitoring & Mute Button | For PC/Mobile, Gaming, Podcast, Streaming, Recording & Singing",LKO1,IN,21.80,12.60,8.40,centimeter,0.44,kilograms,0.0023,cubic meter,1.0,0.0,0.0023,2026-05,2083.88,INR,4.8093,0.0
B0C539RBGL,X001S2C45B,"Audio Array AM-C32 Professional RGB USB Condenser Microphone with Tripod/Pop Filter & Shock Mount | No Latency Monitoring & Mute Button | For PC/Mobile, Gaming, Podcast, Streaming, Recording & Singing",HYD3,IN,21.80,12.60,8.40,centimeter,0.44,kilograms,0.0023,cubic meter,1.0,0.0,0.0023,2026-05,2083.88,INR,4.8092,0.0
B0C539RBGL,X001S2C45B,"Audio Array AM-C32 Professional RGB USB Condenser Microphone with Tripod/Pop Filter & Shock Mount | No Latency Monitoring & Mute Button | For PC/Mobile, Gaming, Podcast, Streaming, Recording & Singing",BOM7,IN,21.80,12.60,8.40,centimeter,0.44,kilograms,0.0023,cubic meter,1.0,0.0,0.0023,2026-05,2083.88,INR,4.8092,0.0
B0B4G1PXWV,X001L4N6P3,"Audio Array AM-C6 USB Plug & Play Condenser Microphone Kit | with pop-Filter & Shock Mount | 3.5 mm No Latency Monitoring, Volume Control & Mute Button | Gaming, Podcasting & Streaming",BLR8,IN,21.70,12.19,8.40,centimeter,0.45,kilograms,0.0022,cubic meter,0.06,0.0,0.0001,2026-05,2083.88,INR,0.2773,0.0
B0B4G1PXWV,X001L4N6P3,"Audio Array AM-C6 USB Plug & Play Condenser Microphone Kit | with pop-Filter & Shock Mount | 3.5 mm No Latency Monitoring, Volume Control & Mute Button | Gaming, Podcasting & Streaming",BOM7,IN,21.70,12.19,8.40,centimeter,0.45,kilograms,0.0022,cubic meter,0.06,0.0,0.0001,2026-05,2083.88,INR,0.1416,0.03
B0B4G1PXWV,X001L4N6P3,"Audio Array AM-C6 USB Plug & Play Condenser Microphone Kit | with pop-Filter & Shock Mount | 3.5 mm No Latency Monitoring, Volume Control & Mute Button | Gaming, Podcasting & Streaming",CJB1,IN,21.70,12.19,8.40,centimeter,0.45,kilograms,0.0022,cubic meter,0.06,0.0,0.0001,2026-05,2083.88,INR,0.2773,0.0
B0B4G1PXWV,X001L4N6P3,"Audio Array AM-C6 USB Plug & Play Condenser Microphone Kit | with pop-Filter & Shock Mount | 3.5 mm No Latency Monitoring, Volume Control & Mute Button | Gaming, Podcasting & Streaming",AMD2,IN,21.70,12.19,8.40,centimeter,0.45,kilograms,0.0022,cubic meter,0.06,0.0,0.0001,2026-05,2083.88,INR,0.2773,0.0
B0B4G1PXWV,X001L4N6P3,"Audio Array AM-C6 USB Plug & Play Condenser Microphone Kit | with pop-Filter & Shock Mount | 3.5 mm No Latency Monitoring, Volume Control & Mute Button | Gaming, Podcasting & Streaming",PNQ3,IN,21.70,12.19,8.40,centimeter,0.45,kilograms,0.0022,cubic meter,0.06,0.0,0.0001,2026-05,2083.88,INR,0.2773,0.0
B0B4G1PXWV,X001L4N6P3,"Audio Array AM-C6 USB Plug & Play Condenser Microphone Kit | with pop-Filter & Shock Mount | 3.5 mm No Latency Monitoring, Volume Control & Mute Button | Gaming, Podcasting & Streaming",DEL5,IN,21.70,12.19,8.40,centimeter,0.45,kilograms,0.0022,cubic meter,0.06,0.0,0.0001,2026-05,2083.88,INR,0.2773,0.0
B0B4G1PXWV,X001L4N6P3,"Audio Array AM-C6 USB Plug & Play Condenser Microphone Kit | with pop-Filter & Shock Mount | 3.5 mm No Latency Monitoring, Volume Control & Mute Button | Gaming, Podcasting & Streaming",DEL4,IN,21.70,12.19,8.40,centimeter,0.45,kilograms,0.0022,cubic meter,0.13,0.0,0.0003,2026-05,2083.88,INR,0.6019,0.0
