model,asin,sku,amazon_inventory,inbound_inventory,sales_velocity,total_units_sold,ampm_inventory,required_units,replenishment_qty,warehouse_shortfall,is_risky,is_overstock,ixd_type,master_carton
HM-01,B0D63FKYZ5,FBA79332,49,,1,5,322,8,0,0,false,true,IXD,
CF-01,B0DNJF1BLS,FBA79484,2,,1,9,25,8,6,0,false,false,IXD,
MG-01,B0DMT19RWC,FBA79596,74,,0,1,92,0,0,0,false,true,IXD,
HD-02,B0D81DLSFT,FBA79348,193,,0,0,606,0,0,0,false,true,IXD,
NP-03,B0CDQ6G4TC,FBA78996,1,,0,0,570,0,0,0,false,true,IXD,
TM-04,B0DK9QNKK8,FBA79485,6,,0,0,2,0,0,0,false,true,IXD,
NP-07,B0DVCDD5VC,FBA79678,44,,0,0,144,0,0,0,false,true,IXD,
HS-02,B0D2LKB4BJ,FBA79273,24,,1,9,37,8,0,0,false,true,IXD,
V-02,B0DT6Y7KJM,FBA79492,41,,1,6,592,8,0,0,false,true,IXD,
ETR-06,B0D9KCNVNM,FBA79381,35,,3,25,50,24,0,0,false,true,IXD,
CFM-02,B0DVSZ2VVJ,FBA79689,11,,1,7,8,8,0,0,false,true,IXD,
LE-06,,FBK79569,0,,0,1,12,0,0,0,false,false,IXD,
SC-03,B0D672NXC8,FBA79277,44,,6,44,5,48,4,0,false,false,Non-IXD,
LE-08,,FBK79685,0,,0,0,33,0,0,0,false,false,IXD,
ETC-04-WH,B0D25LNDSY,FBA79346,31,,1,10,1183,8,0,0,false,true,IXD,
TI-01,B0DFM4JZV9,FBA79466,10,,0,0,52,0,0,0,false,true,IXD,
NP-05,B0CDQ5NBH8,FBA78998,0,,0,0,43,0,0,0,false,false,IXD,
FM-01,B0DMSMKRD9,FBA79592,0,,0,0,1,0,0,0,false,false,Non-IXD,
MGS-02,B0DV94R4QD,FBA79686,35,,0,0,7,0,0,0,false,true,IXD,
EM-01,B0DM6MG4ZH,FBA79594,0,,0,0,1,0,0,0,false,false,IXD,
MM-01,B0DV8TR64D,FBA79688,0,,0,2,0,0,0,0,false,false,IXD,
TM-05,B0DVC91Q7J,FBA79693,35,,0,2,8,0,0,0,false,true,IXD,
AP-01,B0DVC9PRSD,FBA79683,30,,1,7,24,8,0,0,false,true,Non-IXD,
LE-03,B0D9KFQG8Q,FBA79443,33,,1,5,166,8,0,0,false,true,IXD,
AP-02,B0DVC9Q219,FBA79684,0,,0,0,2,0,0,0,false,false,Non-IXD,
HB-01,B0DV91JGF1,FBA79676,45,,0,3,0,0,0,0,false,true,IXD,
LE-07,B0DKJVWM8Q,FBA79572,0,,0,0,2,0,0,0,false,false,IXD,
NP-04,B0CDQ5Y3YB,FBA78997,0,,0,0,0,0,0,0,false,false,IXD,
PM-02,B0DV931G48,FBA79690,16,,0,0,37,0,0,0,false,true,IXD,
KE-03,B0FJ8SFNRH,FBA79809,12,,1,7,1201,8,0,0,false,true,IXD,
IPL-01,B0DKK12XWR,FBA79571,0,,0,0,39,0,0,0,false,false,IXD,
ETC-07,B0FJG5PFGQ,FBA79673,84,,0,0,2521,0,0,0,false,true,IXD,
PB-01,B0FS6TB7CP,FBA79812,135,,11,91,590,88,0,0,false,true,IXD,
MC-01,B0FSF1N457,FBA79811,135,,12,100,837,96,0,0,false,true,IXD,
MF-01,B0FS7T8151,FBA79810,46,,1,11,1693,8,0,0,false,true,IXD,
LR-03,B0FT8R24QM,FBA79819,161,,49,393,296,392,231,0,false,false,IXD,
CFM-03,B0FPGDVVCX,FBA79849,60,,2,16,219,16,0,0,false,true,IXD,
LR-01,,FBA79606,0,,9,72,315,72,72,0,true,false,IXD,
SPM-01,,FBA79717,0,,0,0,336,0,0,0,false,false,IXD,
LR-02,,FBA79607,0,,30,239,766,240,240,0,true,false,IXD,
SS-02,,FBA79657,0,,2,13,726,16,16,0,true,false,IXD,
SC-05,,FBA79912,0,,46,370,39,368,368,329,true,false,IXD,
