PO,Order date,Last updated,PO Status,Confirmation Status,Ship-to location,ASIN,SKU,Model,Brand,Accepted quantity,Received quantity,Remaining quantity,Cancelled quantity,Cost,Currency,Total accepted cost,Total remaining cost,Receive Status
5IKMV54Z,2026-05-04T03:09:50Z,2026-06-06T14:21:25Z,CLOSED,ACCEPTED,ISK3,B0CQX4K9P5,FBA79697,TD310,Tonor,2,1,1,0,1683.64,INR,3367.28,1683.64,RECEIVED
5IKMV54Z,2026-05-04T03:09:50Z,2026-06-06T14:21:25Z,CLOSED,ACCEPTED,ISK3,B0BYHHSLPC,FBA79116,TC-777 PRO,Tonor,11,9,2,0,1751.02,INR,19261.22,3502.04,RECEIVED
5FHNXHBB,2026-05-04T03:09:53Z,2026-06-06T14:23:01Z,CLOSED,ACCEPTED,ISK3,B0BTCXQQ6M,FBA79113,TC310,Tonor,1,0,1,0,1751.02,INR,1751.02,1751.02,NOT_RECEIVED
5CUWLP9G,2026-05-04T03:09:59Z,2026-06-06T14:25:55Z,CLOSED,ACCEPTED,DEL5,B0CQX4K9P5,FBA79697,TD310,Tonor,1,0,1,0,1683.64,INR,1683.64,1683.64,NOT_RECEIVED
5AX1162D,2026-06-09T12:12:51Z,2026-06-10T06:00:40Z,OPEN,ACCEPTED,BLR4,B078WNW4YW,FBA77117,S20,Tonor,22,0,22,0,1747.25,INR,38439.5,38439.5,NOT_RECEIVED
5AX1162D,2026-06-09T12:12:51Z,2026-06-10T06:00:40Z,OPEN,ACCEPTED,BLR4,B08CVP2HXP,FBA77111,TC30,Tonor,50,0,50,0,1751.02,INR,87551.0,87551.0,NOT_RECEIVED
56YHE6GT,2026-05-18T02:15:41Z,2026-06-04T13:30:54Z,OPEN,ACCEPTED,CCX1,B07WLWN2ZT,FBA77101,TC-777,Tonor,1,0,1,0,1683.65,INR,1683.65,1683.65,NOT_RECEIVED
56YHE6GT,2026-05-18T02:15:41Z,2026-06-04T13:30:54Z,OPEN,ACCEPTED,CCX1,B0CFKHCQ8W,FBA79585,T20LP,Tonor,1,0,1,0,1461.23,INR,1461.23,1461.23,NOT_RECEIVED
52XAIA4U,2026-02-09T01:38:05Z,2026-03-14T14:28:16Z,CLOSED,ACCEPTED,ISK3,B082W4B7SX,FBA77106,T20,Tonor,1,0,1,0,1651.91,INR,1651.91,1651.91,NOT_RECEIVED
51DHR16H,2026-05-11T02:10:52Z,2026-06-03T07:18:49Z,OPEN,ACCEPTED,MAA4,B0CCVBQRFX,FBA79582,TD510+,Tonor,1,0,1,0,4334.05,INR,4334.05,4334.05,NOT_RECEIVED
4YSFNTFF,2026-01-19T01:27:42Z,2026-02-21T14:29:22Z,CLOSED,ACCEPTED,ISK3,B0BTCXQQ6M,FBA79113,TC310,Tonor,7,0,7,0,1751.02,INR,12257.14,12257.14,NOT_RECEIVED
4YSFNTFF,2026-01-19T01:27:42Z,2026-02-21T14:29:22Z,CLOSED,ACCEPTED,ISK3,B0CCV74CL7,FBA79114,TC310+,Tonor,1,0,1,0,2516.25,INR,2516.25,2516.25,NOT_RECEIVED
4YSFNTFF,2026-01-19T01:27:42Z,2026-02-21T14:29:22Z,CLOSED,ACCEPTED,ISK3,B0CQX3VB1R,FBA79696,TD310+,Tonor,4,0,4,0,1751.02,INR,7004.08,7004.08,NOT_RECEIVED
4S486CDR,2026-01-26T01:13:26Z,2026-02-28T14:28:54Z,CLOSED,ACCEPTED,CCX1,B0BTCXQQ6M,FBA79113,TC310,Tonor,4,1,3,0,1751.02,INR,7004.08,5253.0599999999995,RECEIVED
4IOBGKAI,2026-06-01T02:09:41Z,2026-06-02T10:56:23Z,OPEN,ACCEPTED,ISK3,B07WLWN2ZT,FBA77101,TC-777,Tonor,4,0,4,0,1683.65,INR,6734.6,6734.6,NOT_RECEIVED
