ShipmentId,ShipmentName,ShipmentStatus,DestinationFC,ShipFrom,SellerSKU,FNSKU,QuantityShipped,QuantityReceived,QuantityInCase
FBA15M5D8K7L,FBA STA (13/08/2026 07:29)-BOM5,RECEIVING,BOM5,"Mumbai, Maharashtra",FBA79262,X001ZOM871,1,1,0
FBA15M5D8K7L,FBA STA (13/08/2026 07:29)-BOM5,RECEIVING,BOM5,"Mumbai, Maharashtra",FBA79277,X0021NWGBN,8,8,0
FBA15M5D8K7L,FBA STA (13/08/2026 07:29)-BOM5,RECEIVING,BOM5,"Mumbai, Maharashtra",FBA79278,X0022K5OBJ,2,2,0
FBA15M5D8K7L,FBA STA (13/08/2026 07:29)-BOM5,RECEIVING,BOM5,"Mumbai, Maharashtra",FBA79404,X00230BF25,1,1,0
FBA15M5D8K7L,FBA STA (13/08/2026 07:29)-BOM5,RECEIVING,BOM5,"Mumbai, Maharashtra",FBA79405,X00230DRXF,1,1,0
FBA15M5D8K7L,FBA STA (13/08/2026 07:29)-BOM5,RECEIVING,BOM5,"Mumbai, Maharashtra",FBA79489,X00243S2SB,1,1,0
FBA15M5D8K7L,FBA STA (13/08/2026 07:29)-BOM5,RECEIVING,BOM5,"Mumbai, Maharashtra",FBA79652,X002A07CLV,1,1,0
FBA15M5D8K7L,FBA STA (13/08/2026 07:29)-BOM5,RECEIVING,BOM5,"Mumbai, Maharashtra",FBA79692,X0028722JD,1,1,0
FBA15M4XSS43,FBA STA (13/08/2026 10:56)-ISK3,IN_TRANSIT,ISK3,"Bhiwandi, MH",FBA78981,X001U1K281,50,0,0
FBA15M4XSS43,FBA STA (13/08/2026 10:56)-ISK3,IN_TRANSIT,ISK3,"Bhiwandi, MH",FBA79348,X0022KC71T,3,0,0
FBA15M4XSS43,FBA STA (13/08/2026 10:56)-ISK3,IN_TRANSIT,ISK3,"Bhiwandi, MH",FBA79405,X00230DRXF,86,0,0
FBA15M4XSS43,FBA STA (13/08/2026 10:56)-ISK3,IN_TRANSIT,ISK3,"Bhiwandi, MH",FBA79692,X0028722JD,7,0,0
FBA15M57SJF2,FBA STA (13/08/2026 12:51)-BOM5,RECEIVING,BOM5,"Mumbai, Maharashtra",FBA78981,X001U1K281,4,4,0
FBA15M57SJF2,FBA STA (13/08/2026 12:51)-BOM5,RECEIVING,BOM5,"Mumbai, Maharashtra",FBA79652,X002A07CLV,29,29,0
FBA15M5S5JP6,FBA STA (17/08/2026 06:58)-BOM5,RECEIVING,BOM5,"Bhiwandi, Maharashtra",FBA79971,X002HNG2AD,10,10,0
FBA15M62J6XY,FBA STA (18/08/2026 08:16)-ISK3,RECEIVING,ISK3,"Bhiwandi, Maharashtra",FBA79280,X0022J93DP,80,80,0
FBA15M62J6XY,FBA STA (18/08/2026 08:16)-ISK3,RECEIVING,ISK3,"Bhiwandi, Maharashtra",FBA79346,X0020BGFWR,50,50,0
FBA15M62J6XY,FBA STA (18/08/2026 08:16)-ISK3,RECEIVING,ISK3,"Bhiwandi, Maharashtra",FBA79440,X0023JNZFV,50,50,0
FBA15M62J6XY,FBA STA (18/08/2026 08:16)-ISK3,RECEIVING,ISK3,"Bhiwandi, Maharashtra",FBA79707,X002D6JZQH,50,50,0
FBA15M62J6XY,FBA STA (18/08/2026 08:16)-ISK3,RECEIVING,ISK3,"Bhiwandi, Maharashtra",FBP79350,X0024F173L,60,60,0
FBA15M65GRD7,FBA STA (18/08/2026 08:20)-ISK3,RECEIVING,ISK3,"Bhiwandi, Maharashtra",FBA78980,X001U1DYK9,120,120,0
FBA15M65GRD7,FBA STA (18/08/2026 08:20)-ISK3,RECEIVING,ISK3,"Bhiwandi, Maharashtra",FBA78981,X001U1K281,240,234,0
FBA15M65GRD7,FBA STA (18/08/2026 08:20)-ISK3,RECEIVING,ISK3,"Bhiwandi, Maharashtra",FBA79404,X00230BF25,40,20,0
FBA15M65GRD7,FBA STA (18/08/2026 08:20)-ISK3,RECEIVING,ISK3,"Bhiwandi, Maharashtra",FBA79492,X0027XB4G5,120,120,0
FBA15M65GRD7,FBA STA (18/08/2026 08:20)-ISK3,RECEIVING,ISK3,"Bhiwandi, Maharashtra",FBA79493,X00272C0EV,240,240,0
FBA15M65GRD7,FBA STA (18/08/2026 08:20)-ISK3,RECEIVING,ISK3,"Bhiwandi, Maharashtra",FBA79692,X0028722JD,120,120,0
FBA15M65GRD7,FBA STA (18/08/2026 08:20)-ISK3,RECEIVING,ISK3,"Bhiwandi, Maharashtra",FBA79988,X002IKH00L,80,80,0
FBA15M7RVRXB,FBA STA (24/08/2026 09:27)-ISK3,IN_TRANSIT,ISK3,"Mumbai, Maharashtra",FBA79439,X0023KW3JJ,4,0,0
FBA15M7RVRXB,FBA STA (24/08/2026 09:27)-ISK3,IN_TRANSIT,ISK3,"Mumbai, Maharashtra",FBA79463,X0023Z3NVB,4,0,0
FBA15M7RVRXB,FBA STA (24/08/2026 09:27)-ISK3,IN_TRANSIT,ISK3,"Mumbai, Maharashtra",FBA79472,X002435CVL,1,0,0
