snapshot-date,sku,fnsku,asin,product-name,condition,available,fc-transfer,pending-removal-quantity,inv-age-0-to-90-days,inv-age-91-to-180-days,inv-age-181-to-270-days,inv-age-271-to-365-days,inv-age-365-plus-days,currency,qty-to-be-charged-ltsf-5-mo,projected-ltsf-5-mo,qty-to-be-charged-ltsf-12-mo,estimated-ltsf-next-charge,units-shipped-t7,units-shipped-t30,units-shipped-t60,units-shipped-t90,alert,your-price,sales-price,lowest-price-new-plus-shipping,lowest-price-used,recommended-action,healthy-inventory-level,recommended-sales-price,recommended-sale-duration-days,recommended-removal-quantity,estimated-cost-savings-of-recommended-actions,sell-through,item-volume,volume-unit-measurement,storage-type,storage-volume,marketplace,product-group,sales-rank,days-of-supply,estimated-excess-quantity,weeks-of-cover-t30,weeks-of-cover-t90,featuredoffer-price,sales-shipped-last-7-days,sales-shipped-last-30-days,sales-shipped-last-60-days,sales-shipped-last-90-days,inv-age-0-to-30-days,inv-age-31-to-60-days,inv-age-61-to-90-days,inv-age-91-to-150-days,inv-age-151-to-180-days,inv-age-181-to-330-days,inv-age-331-to-365-days,estimated-storage-cost-next-month,inbound-quantity,inbound-working,inbound-shipped,inbound-received,Total Reserved Quantity,unfulfillable-quantity,Inventory age snapshot date,Inventory Supply at FBA,Reserved FC Processing,Reserved Customer Order,Total Days of Supply (including units from open shipments)
2026-07-16,FBA78960,X001TCICGF,B0CBCB82MT,,New,5,5,0,6,0,0,0,0,INR,0,0.0,0,0.0,0,3,4,4,,1599.0,0.0,1599.0,0.0,NoRestockExcessActionRequired,10,0.0,0,0,0.0,0.57,0.003006,cubic meter,,0.015032,IN,,336,,0,6,16,1599.0,0.0,4024.59,5380.12,5380.12,6,0,0,0,0,0,0,392.11,0,0,0,0,1,1,2026-07-14,10,1,0,
2026-07-16,FBA79827,X002CZXPSN,B0FJ8S5XJ8,,New,12,0,0,0,12,0,0,0,INR,1,405.74,0,0.0,0,0,0,0,Low traffic,13799.0,0.0,13799.0,0.0,Advertise listing,0,12420.0,52,0,277490.81,0.0,0.017623,cubic meter,,0.211478,IN,,4531,,12,,,13799.0,0.0,0.0,0.0,0.0,0,0,0,11,1,0,0,680.07,0,0,0,0,0,0,2026-07-14,12,0,0,
2026-07-16,FBA75683,X001L4TMU1,B0B4G94VP3,,New,14,0,0,0,14,0,0,0,INR,13,397.08,0,0.0,0,3,6,7,Low traffic,499.0,0.0,499.0,0.0,NoRestockExcessActionRequired,14,0.0,0,0,0.0,0.39,0.001327,cubic meter,,0.018573,IN,,1021,,0,18,26,499.0,0.0,1249.15,2483.05,2905.93,0,0,0,2,12,0,0,9.1,0,0,0,0,0,0,2026-07-14,14,0,0,
2026-07-16,FBA79064,X001VJP5O3,B0CJR76Y7G,,New,9,0,0,1,8,0,0,0,INR,4,135.91,0,0.0,0,1,1,1,,849.0,0.0,849.0,0.0,NoRestockExcessActionRequired,9,0.0,0,0,0.0,0.11,0.001476,cubic meter,,0.013282,IN,,1297,,0,36,117,849.0,0.0,719.5,719.5,719.5,0,1,0,7,1,0,0,51.77,0,0,0,0,0,0,2026-07-14,9,0,0,
2026-07-16,FBA79825,X002CXZBZ5,B0FJ2DT13L,,New,6,0,0,5,1,0,0,0,INR,0,0.0,0,0.0,0,1,1,5,,3849.0,0.0,3849.0,0.0,NoRestockExcessActionRequired,6,0.0,0,0,5.56,0.74,0.017514,cubic meter,,0.105082,IN,,367,,0,24,15,3849.0,0.0,3261.86,3261.86,16309.32,5,0,0,1,0,0,0,947.94,0,0,0,0,0,0,2026-07-14,6,0,0,
2026-07-16,FBA79963,X002GRCY1B,B0G53CB72D,,New,1,0,0,0,1,0,0,0,INR,0,0.0,0,0.0,0,0,0,0,Low conversion,20999.0,0.0,20999.0,0.0,Lower price,0,0.0,0,0,85510.71,0.0,0.0105,cubic meter,,0.0105,IN,,9445,,1,,,20999.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1917.45,0,0,0,0,0,0,2026-07-14,1,0,0,
2026-07-16,FBA75684,X001L4RK0P,B0B4G7VWXD,,New,33,0,0,5,28,0,0,0,INR,0,0.0,0,0.0,0,5,14,16,Low traffic,1699.0,0.0,1699.0,0.0,NoRestockExcessActionRequired,33,0.0,0,0,0.0,0.38,0.002579,cubic meter,,0.085098,IN,,985,,0,26,26,1699.0,0.0,7199.19,20239.01,23118.67,2,1,2,28,0,0,0,118.86,0,0,0,0,1,0,2026-07-14,33,1,0,
2026-07-16,FBA80142,X002LUVNPB,B0H3LHF2WW,,New,53,0,0,54,0,0,0,0,INR,0,0.0,0,0.0,6,15,15,15,,2499.0,0.0,2499.0,0.0,NoRestockExcessActionRequired,,,0,0,,0.56,0.001257,cubic meter,,0.066611,IN,,2117,,0,14,45,2499.0,12647.47,31953.41,31953.41,31953.41,54,0,0,0,0,0,0,,0,0,0,0,2,0,2026-07-14,53,1,1,
2026-07-16,FBA75678,X001L4X3H9,B0B4G8PH2P,,New,11,0,0,3,8,0,0,0,INR,0,0.0,0,0.0,0,1,2,2,,2149.0,0.0,2149.0,0.0,NoRestockExcessActionRequired,11,0.0,0,0,0.0,0.14,0.007223,cubic meter,,0.079456,IN,,288,,0,44,71,2149.0,0.0,1821.18,3684.74,3684.74,0,3,0,8,0,0,0,1030.85,0,0,0,0,0,0,2026-07-14,11,0,0,
2026-07-16,FBA78423,X001S4GRQV,B0C598Q6PT,,New,10,0,0,10,0,0,0,0,INR,0,0.0,0,0.0,,,,,Low traffic,549.0,0.0,549.0,0.0,Advertise listing,0,0.0,0,0,3916.95,0.0,4.12E-4,cubic meter,,0.004119,IN,,11983,,0,,,549.0,,,,,0,0,10,0,0,0,0,6.65,0,0,0,0,0,0,2026-07-14,10,0,0,
2026-07-16,FBA79783,X002C95MQ7,B0FF9R3GKK,,New,4,0,0,0,6,0,0,0,INR,0,0.0,0,0.0,0,0,2,2,Low traffic,2849.0,0.0,2849.0,0.0,NoRestockExcessActionRequired,4,0.0,0,0,0.0,0.09,0.008947,cubic meter,,0.03579,IN,,8543,,0,,26,2849.0,0.0,0.0,4828.81,4828.81,0,0,0,6,0,0,0,15.75,0,0,0,0,10,0,2026-07-14,4,9,1,
2026-07-16,FBA79694,X0027WY8QJ,B0DT6T6N6B,,New,104,0,0,105,0,0,0,0,INR,0,0.0,0,0.0,3,21,37,37,,599.0,0.0,599.0,0.0,NoRestockExcessActionRequired,104,0.0,0,0,0.0,0.9,4.68E-4,cubic meter,,0.048677,IN,,247,,0,19,36,599.0,1394.06,10602.6,18709.46,18709.46,105,0,0,0,0,0,0,25.9,0,0,0,0,0,0,2026-07-14,104,0,0,
2026-07-16,FBA79848,X002JTXRM1,B0GN97RFPR,,New,38,0,0,35,0,0,0,0,INR,0,0.0,0,0.0,9,23,56,79,,7499.0,0.0,7499.0,0.0,CreateShippingPlan,38,0.0,0,0,0.0,2.11,0.026757,cubic meter,,1.016756,IN,,342,,0,6,6,7499.0,57661.04,146653.65,331774.03,460879.98,13,22,0,0,0,0,0,413.25,0,0,0,0,2,0,2026-07-14,38,2,0,
2026-07-16,FBA79839,X002EDV1Q1,B0FQBXS6Y2,,New,16,0,0,17,0,0,0,0,INR,0,0.0,0,0.0,3,15,29,33,,1599.0,0.0,1599.0,0.0,NoRestockExcessActionRequired,16,0.0,0,0,0.0,0.99,0.004551,cubic meter,,0.07281,IN,,319,,0,9,14,1599.0,3866.95,19978.79,39153.33,44681.29,2,9,6,0,0,0,0,29.59,20,0,20,0,2,0,2026-07-14,36,2,0,
2026-07-16,FBA76597,X001ORW383,B0BQ7H7418,,New,16,0,0,16,0,0,0,0,INR,0,0.0,0,0.0,1,9,25,25,,1299.0,0.0,1299.0,0.0,NoRestockExcessActionRequired,16,0.0,0,0,0.0,1.85,0.078367,cubic meter,,1.25387,IN,,288,,0,7,8,1299.0,1066.1,9838.12,27427.95,27427.95,16,0,0,0,0,0,0,909.7,0,0,0,0,0,0,2026-07-14,16,0,0,
2026-07-16,FBA79909,X002F9I0KT,B0FVM17Q4W,,New,10,0,0,7,2,0,0,0,INR,1,23.6,0,0.0,0,2,3,11,Low traffic,1999.0,0.0,1999.0,0.0,NoRestockExcessActionRequired,10,0.0,0,0,0.0,0.66,5.49E-4,cubic meter,,0.005488,IN,,1092,,0,40,23,1999.0,0.0,3388.14,5082.21,18592.37,2,2,3,2,0,0,0,56.35,10,0,10,0,0,1,2026-07-14,20,0,0,
2026-07-16,FBA79816,X002E96TAX,B0FPR962YS,,New,13,0,0,14,0,0,0,0,INR,0,0.0,0,0.0,0,6,6,6,Low traffic,3299.0,0.0,3299.0,0.0,NoRestockExcessActionRequired,13,0.0,0,0,0.0,0.16,6.52E-4,cubic meter,,0.008481,IN,,7101,,0,8,28,3299.0,0.0,16774.56,16774.56,16774.56,0,10,4,0,0,0,0,11.34,0,0,0,0,31,0,2026-07-14,13,30,1,
2026-07-16,FBA79379,X0020S4GV7,B0D3LZWTHV,,New,21,0,0,19,2,0,0,0,INR,0,0.0,0,0.0,0,0,0,2,Low conversion,3449.0,0.0,3449.0,0.0,NoRestockExcessActionRequired,21,0.0,0,0,0.0,0.13,0.003415,cubic meter,,0.07171,IN,,918,,0,,136,3449.0,0.0,0.0,0.0,5845.76,16,2,1,2,0,0,0,1123.88,0,0,0,0,0,0,2026-07-14,21,0,0,
