snapshot-date,sku,fnsku,asin,product-name,condition,available,fc-transfer,pending-removal-quantity,inv-age-0-to-90-days,inv-age-91-to-180-days,inv-age-181-to-270-days,inv-age-271-to-365-days,inv-age-365-plus-days,currency,qty-to-be-charged-ltsf-5-mo,projected-ltsf-5-mo,qty-to-be-charged-ltsf-12-mo,estimated-ltsf-next-charge,units-shipped-t7,units-shipped-t30,units-shipped-t60,units-shipped-t90,alert,your-price,sales-price,lowest-price-new-plus-shipping,lowest-price-used,recommended-action,healthy-inventory-level,recommended-sales-price,recommended-sale-duration-days,recommended-removal-quantity,estimated-cost-savings-of-recommended-actions,sell-through,item-volume,volume-unit-measurement,storage-type,storage-volume,marketplace,product-group,sales-rank,days-of-supply,estimated-excess-quantity,weeks-of-cover-t30,weeks-of-cover-t90,featuredoffer-price,sales-shipped-last-7-days,sales-shipped-last-30-days,sales-shipped-last-60-days,sales-shipped-last-90-days,inv-age-0-to-30-days,inv-age-31-to-60-days,inv-age-61-to-90-days,inv-age-91-to-150-days,inv-age-151-to-180-days,inv-age-181-to-330-days,inv-age-331-to-365-days,estimated-storage-cost-next-month,inbound-quantity,inbound-working,inbound-shipped,inbound-received,Total Reserved Quantity,unfulfillable-quantity,Inventory age snapshot date,Inventory Supply at FBA,Reserved FC Processing,Reserved Customer Order,Total Days of Supply (including units from open shipments)
2026-07-16,FBA77009,X001OOWGYR,B0BPSFLT1B,,New,1,0,0,0,0,0,0,1,INR,0,0.0,0,0.0,,,,,Low traffic,319.0,0.0,319.0,0.0,Create removal order,0,0.0,0,0,278.04,0.0,2.36E-4,cubic meter,,2.36E-4,IN,,,,1,,,319.0,,,,,0,0,0,0,0,0,0,9.5,0,0,0,0,0,0,2026-07-14,1,0,0,
2026-07-16,FBA80139,X002LISR0R,B001QXCYZY,,New,6,0,0,6,0,0,0,0,INR,0,0.0,0,0.0,1,1,1,1,Low traffic,8399.0,0.0,8399.0,0.0,Advertise listing,,,0,0,,0.22,0.003952,cubic meter,,0.023713,IN,,5347,,0,24,78,8399.0,7117.8,7117.8,7117.8,7117.8,6,0,0,0,0,0,0,,0,0,0,0,0,0,2026-07-14,6,0,0,
2026-07-16,FBA79819,X002F3ID0H,B0FT8R24QM,,New,49,0,0,21,28,0,0,0,INR,3,70.8,0,0.0,0,2,3,7,,415.0,0.0,399.0,0.0,NoRestockExcessActionRequired,1,0.0,0,0,20213.89,0.13,4.8E-4,cubic meter,,0.023528,IN,,,,48,98,91,399.0,0.0,676.28,967.81,2520.37,0,1,20,28,0,0,0,107.63,0,0,0,0,0,0,2026-07-14,49,0,0,
2026-07-16,FBA79574,X0026KD6XX,B0B4WTHLX5,,New,1,0,0,0,0,0,1,0,INR,0,0.0,0,0.0,0,1,2,2,Low traffic,2499.0,0.0,2499.0,0.0,NoRestockExcessActionRequired,0,2399.0,20,0,5127.22,0.44,0.004118,cubic meter,,0.004118,IN,,43508,,5,20,32,2499.0,0.0,2117.8,4235.6,4235.6,0,0,0,0,0,1,0,85.78,4,0,4,0,0,0,2026-07-14,5,0,0,
2026-07-16,FBA77163,X001R13NA3,B0BWJQ5TMK,,New,1,1,0,1,0,0,0,0,INR,0,0.0,0,0.0,,,,,Low traffic,3299.0,0.0,3299.0,0.0,Advertise listing,,,0,0,,0.0,0.002515,cubic meter,,0.002515,IN,,97286,,0,,,3299.0,,,,,1,0,0,0,0,0,0,,0,0,0,0,0,0,2026-07-14,2,0,0,
2026-07-16,FBA78353,X001S10D2D,B0BZPDH6GM,,,0,0,0,5,0,0,0,0,INR,0,0.0,0,0.0,0,0,0,0,,0.0,0.0,0.0,0.0,NoRestockExcessActionRequired,,,0,0,,0.0,0.003396,cubic meter,,0.0,IN,,1041,,0,,,3899.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,,0,0,0,0,3,0,2026-07-14,0,2,1,
2026-07-16,FBA79576,X0026KGQB7,B0BRCR2QQ7,,New,2,0,0,1,1,0,0,0,INR,0,0.0,0,0.0,0,0,0,0,Low traffic,2799.0,0.0,2799.0,0.0,Advertise listing,0,2699.0,23,0,14979.58,0.0,0.006306,cubic meter,,0.012612,IN,,6578,,2,,,2799.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,263.62,0,0,0,0,0,0,2026-07-14,2,0,0,
2026-07-16,FBA79612,X0028X8DLN,B0DP2WC5VW,,New,16,1,0,19,0,0,0,0,INR,0,0.0,0,0.0,9,43,68,72,Low traffic,3299.0,0.0,3299.0,0.0,CreateShippingPlan,17,0.0,0,0,0.0,1.51,0.00841,cubic meter,,0.134556,IN,,14324,,0,1,2,3189.0,25100.83,124519.56,196540.79,206681.47,12,1,6,0,0,0,0,139.26,0,0,0,0,1,1,2026-07-14,17,1,0,
2026-07-16,FBA78346,X001R0SHUP,B07JJ62B1B,,New,7,0,0,7,0,0,0,0,INR,0,0.0,0,0.0,,,,,Low conversion,3099.0,0.0,3099.0,0.0,Lower price,,,0,0,,0.0,0.008249,cubic meter,,0.057741,IN,,2601,,0,,,3117.0,,,,,7,0,0,0,0,0,0,,0,0,0,0,0,0,2026-07-14,7,0,0,
2026-07-16,FBA79971,X002MI8RVZ,B0GGHZWMVW,,New,22,0,0,23,0,0,0,0,INR,0,0.0,0,0.0,13,18,18,18,,11999.0,0.0,11999.0,0.0,NoRestockExcessActionRequired,,,0,0,,0.72,0.051673,cubic meter,,1.136815,IN,,2826,,0,4,15,11999.0,129226.25,177145.73,177145.73,177145.73,23,0,0,0,0,0,0,,0,0,0,0,2,1,2026-07-14,22,2,0,
