asin,fnsku,product-name,fulfillment-center,country-code,longest-side,median-side,shortest-side,measurement-units,weight,weight-units,item-volume,volume-units,average-quantity-on-hand,average-quantity-pending-removal,estimated-total-item-volume,month-of-charge,storage-rate,currency,estimated-monthly-storage-fee,average-quantity-customer-orders
B0F43P6D23,X002A01YVP,NexLev Steam Cleaner | Complete Home Kitchen Floor Bathroom Car & Office | Steam Cleaner for Home With 9 Accessories | 450 ML | Window Pane Sink Grime Chimney Grease Water Stain Cleaner | 1050W,PNQ3,IN,27.00,26.39,16.00,centimeter,2.02,kilograms,0.0114,cubic meter,11.1,0.0,0.1262,2026-05,2083.88,INR,262.9912,0.03
B0D25LNDSY,X0028X7N9B,Nexlev Rechargeable Electric Toothbrush| 120 Days Life | 35K strokes/min| Type C| 5 Modes for Daily Use| 2 Min timer with 30sec Quadpacer | 4 Brushheads| IPX7 Waterproof| For Men & Women | ETC-04 White,CCX1,IN,24.00,11.00,3.80,centimeter,0.20,kilograms,0.0010,cubic meter,0.97,0.97,0.0000,2026-05,2083.88,INR,0.0,0.0
B0D25LNDSY,X0028X7N9B,Nexlev Rechargeable Electric Toothbrush| 120 Days Life | 35K strokes/min| Type C| 5 Modes for Daily Use| 2 Min timer with 30sec Quadpacer | 4 Brushheads| IPX7 Waterproof| For Men & Women | ETC-04 White,PNQ3,IN,24.00,11.00,3.80,centimeter,0.20,kilograms,0.0010,cubic meter,4.23,3.39,0.0002,2026-05,2083.88,INR,0.3364,0.68
B0D8445KJN,X0028X1WLB,"NexLev Rechargeable Lint Remover | for Woollen Sweaters Pill, Rue & Burr Remover | 60min Use Time | Type C |Defuzzer | Lint Brush for Coat | 2 Modes | SS Blade | Safety Lock | LR-01",DEL5,IN,15.10,8.31,7.20,centimeter,0.22,kilograms,0.0009,cubic meter,14.0,0.0,0.0126,2026-05,2083.88,INR,26.3534,0.0
B0D8445KJN,X0028X1WLB,"NexLev Rechargeable Lint Remover | for Woollen Sweaters Pill, Rue & Burr Remover | 60min Use Time | Type C |Defuzzer | Lint Brush for Coat | 2 Modes | SS Blade | Safety Lock | LR-01",MAA4,IN,15.10,8.31,7.20,centimeter,0.22,kilograms,0.0009,cubic meter,19.0,0.0,0.0172,2026-05,2083.88,INR,35.7652,0.0
B0D8445KJN,X0028X1WLB,"NexLev Rechargeable Lint Remover | for Woollen Sweaters Pill, Rue & Burr Remover | 60min Use Time | Type C |Defuzzer | Lint Brush for Coat | 2 Modes | SS Blade | Safety Lock | LR-01",AMD2,IN,15.10,8.31,7.20,centimeter,0.22,kilograms,0.0009,cubic meter,2.0,0.0,0.0018,2026-05,2083.88,INR,3.7648,0.0
B0D8445KJN,X0028X1WLB,"NexLev Rechargeable Lint Remover | for Woollen Sweaters Pill, Rue & Burr Remover | 60min Use Time | Type C |Defuzzer | Lint Brush for Coat | 2 Modes | SS Blade | Safety Lock | LR-01",BLR8,IN,15.10,8.31,7.20,centimeter,0.22,kilograms,0.0009,cubic meter,2.0,0.0,0.0018,2026-05,2083.88,INR,3.7648,0.0
B0D8445KJN,X0028X1WLB,"NexLev Rechargeable Lint Remover | for Woollen Sweaters Pill, Rue & Burr Remover | 60min Use Time | Type C |Defuzzer | Lint Brush for Coat | 2 Modes | SS Blade | Safety Lock | LR-01",DEL4,IN,15.10,8.31,7.20,centimeter,0.22,kilograms,0.0009,cubic meter,1.58,0.0,0.0014,2026-05,2083.88,INR,2.915,0.03
B0D8445KJN,X0028X1WLB,"NexLev Rechargeable Lint Remover | for Woollen Sweaters Pill, Rue & Burr Remover | 60min Use Time | Type C |Defuzzer | Lint Brush for Coat | 2 Modes | SS Blade | Safety Lock | LR-01",DED4,IN,15.10,8.31,7.20,centimeter,0.22,kilograms,0.0009,cubic meter,2.0,0.0,0.0018,2026-05,2083.88,INR,3.7648,0.0
B0D8445KJN,X0028X1WLB,"NexLev Rechargeable Lint Remover | for Woollen Sweaters Pill, Rue & Burr Remover | 60min Use Time | Type C |Defuzzer | Lint Brush for Coat | 2 Modes | SS Blade | Safety Lock | LR-01",BOM7,IN,15.10,8.31,7.20,centimeter,0.22,kilograms,0.0009,cubic meter,1.58,0.0,0.0014,2026-05,2083.88,INR,2.915,0.03
