asin,fnsku,product-name,fulfillment-center,country-code,longest-side,median-side,shortest-side,measurement-units,weight,weight-units,item-volume,volume-units,average-quantity-on-hand,average-quantity-pending-removal,estimated-total-item-volume,month-of-charge,storage-rate,currency,estimated-monthly-storage-fee,average-quantity-customer-orders
B0DQ51R95T,X00270AWN9,White Mulberry |120X60CM Table Top|Motorized Sit Stand Desk|Multi-Purpose Electric Height Adjustable Ergonomic Desk - Office Work study Table|3 Year Warranty|Digital screen Advance Memory Preset-Black,SMAB,IN,100.00,59.99,1.80,centimeter,26.00,kilograms,0.0108,cubic meter,1.0,1.0,0.0000,2026-05,2083.88,INR,0.0,0.0
B0DQ51R95T,X00270AWN9,White Mulberry |120X60CM Table Top|Motorized Sit Stand Desk|Multi-Purpose Electric Height Adjustable Ergonomic Desk - Office Work study Table|3 Year Warranty|Digital screen Advance Memory Preset-Black,SHTX,IN,100.00,59.99,1.80,centimeter,26.00,kilograms,0.0108,cubic meter,1.0,1.0,0.0000,2026-05,2083.88,INR,0.0,0.0
B0BF4S7V8C,X00242V9DH,"White Mulberry Alloy Steel Manual Height Adjustable Desk | Ergonomic Design | Ecofriendly Desk | Sit Stand Desk for Office, Home & Study Table| 1200Mm X 600Mm | White",SHTX,IN,100.00,69.01,13.00,centimeter,27.00,kilograms,0.0897,cubic meter,1.0,1.0,0.0000,2026-05,2083.88,INR,0.0,0.0
B0BF4S7V8C,X00242V9DH,"White Mulberry Alloy Steel Manual Height Adjustable Desk | Ergonomic Design | Ecofriendly Desk | Sit Stand Desk for Office, Home & Study Table| 1200Mm X 600Mm | White",SBOB,IN,100.00,69.01,13.00,centimeter,27.00,kilograms,0.0897,cubic meter,1.32,1.03,0.0170,2026-05,2083.88,INR,35.5233,0.1
B0BF4TKQKN,X001MUAIZ7,"White Mulberry Wooden Motorized Electronic Height Adjustable | Ergonomic Spacious Design Desk | Motor&Memory Preset Controller|Sit Stand Desk for Office, Home & Study Table| 1200mmx600mm | Black",SHTX,IN,100.00,69.01,13.00,centimeter,31.00,kilograms,0.0897,cubic meter,1.0,1.0,0.0000,2026-05,2083.88,INR,0.0,0.0
B0CPFS24ML,X001Y5UYX1,"White Mulberry Gaming Desk, Computer Desk with Carbon Fiber Surface, Z Shaped Gaming Table, Computer Table, Workstation, Home Office Desk with Cup Holder and Headphone Holder | (110 * 60 * 75 CM)",CCX1,IN,100.00,67.59,8.80,centimeter,16.14,kilograms,0.0595,cubic meter,0.16,0.13,0.0018,2026-05,2083.88,INR,3.7179,0.0
B0CPFS24ML,X001Y5UYX1,"White Mulberry Gaming Desk, Computer Desk with Carbon Fiber Surface, Z Shaped Gaming Table, Computer Table, Workstation, Home Office Desk with Cup Holder and Headphone Holder | (110 * 60 * 75 CM)",BOM5,IN,100.00,67.59,8.80,centimeter,16.14,kilograms,0.0595,cubic meter,0.84,0.65,0.0113,2026-05,2083.88,INR,23.5505,0.0
B0CPFS24ML,X001Y5UYX1,"White Mulberry Gaming Desk, Computer Desk with Carbon Fiber Surface, Z Shaped Gaming Table, Computer Table, Workstation, Home Office Desk with Cup Holder and Headphone Holder | (110 * 60 * 75 CM)",DEL4,IN,100.00,67.59,8.80,centimeter,16.14,kilograms,0.0595,cubic meter,4.29,3.65,0.0381,2026-05,2083.88,INR,79.326,0.0
B0DQ4YWSMC,X00270AW07,White Mulberry |120X60CM Table Top|Motorized Sit Stand Desk|Multi-Purpose Electric Height Adjustable Ergonomic Desk - Office Work study Table|3 Year Warranty|Digital screen Advance Memory Preset-White,SBOB,IN,100.00,59.99,1.80,centimeter,26.00,kilograms,0.0108,cubic meter,2.42,0.0,0.0244,2026-05,2083.88,INR,50.8657,0.16
B0DQ4YWSMC,X00270AW07,White Mulberry |120X60CM Table Top|Motorized Sit Stand Desk|Multi-Purpose Electric Height Adjustable Ergonomic Desk - Office Work study Table|3 Year Warranty|Digital screen Advance Memory Preset-White,BLX1,IN,100.00,59.99,1.80,centimeter,26.00,kilograms,0.0108,cubic meter,0.77,0.77,0.0000,2026-05,2083.88,INR,0.0,0.0
B0DQ51R95T,X00270AWN9,White Mulberry |120X60CM Table Top|Motorized Sit Stand Desk|Multi-Purpose Electric Height Adjustable Ergonomic Desk - Office Work study Table|3 Year Warranty|Digital screen Advance Memory Preset-Black,SMAB,IN,100.00,59.99,1.80,centimeter,26.00,kilograms,0.0108,cubic meter,3.0,3.0,0.0000,2026-05,2083.88,INR,0.0,0.0
B0CPT2YJX2,X001Y5SHK3,White Mulberry L-Shape Corner Desk with Shelf|DIY Assembly| Monitor Raising Shelf |Engineered Wood & Sturdy Steel Leg|Perfect for Computer Table Office Home Gaming Study Desk|L(130+130)*45*77cm|Black,SMAB,IN,100.00,59.99,18.00,centimeter,20.00,kilograms,0.1080,cubic meter,2.0,2.0,-0.1080,2026-05,2083.88,INR,0.0,0.0
B0CPT2YJX2,X001Y5SHK3,White Mulberry L-Shape Corner Desk with Shelf|DIY Assembly| Monitor Raising Shelf |Engineered Wood & Sturdy Steel Leg|Perfect for Computer Table Office Home Gaming Study Desk|L(130+130)*45*77cm|Black,SMAB,IN,100.00,59.99,18.00,centimeter,20.00,kilograms,0.1080,cubic meter,1.0,1.0,0.0000,2026-05,2083.88,INR,0.0,0.0
B0CPT2YJX2,X001Y5SHK3,White Mulberry L-Shape Corner Desk with Shelf|DIY Assembly| Monitor Raising Shelf |Engineered Wood & Sturdy Steel Leg|Perfect for Computer Table Office Home Gaming Study Desk|L(130+130)*45*77cm|Black,SHTX,IN,100.00,59.99,18.00,centimeter,20.00,kilograms,0.1080,cubic meter,1.0,1.0,0.0000,2026-05,2083.88,INR,0.0,0.0
B0DQ1NV8D2,X0026ZDA2F,"White Mulberry Manual Height Adjustable Table for Office Work | 120×60 cm Ergonomic Sit Stand Desk for Office Work & Study Multi-Purpose Standing Desk with 80 Kg Load Capacity, Black, 3 Year Warranty",BLX1,IN,100.00,67.01,10.00,centimeter,24.00,kilograms,0.0670,cubic meter,0.1,0.0,0.0000,2026-05,2083.88,INR,0.0,0.1
B0DQ1NV8D2,X0026ZDA2F,"White Mulberry Manual Height Adjustable Table for Office Work | 120×60 cm Ergonomic Sit Stand Desk for Office Work & Study Multi-Purpose Standing Desk with 80 Kg Load Capacity, Black, 3 Year Warranty",SBOB,IN,100.00,67.01,10.00,centimeter,24.00,kilograms,0.0670,cubic meter,1.48,0.0,0.0864,2026-05,2083.88,INR,180.1246,0.19
B0DQ1NV8D2,X0026ZDA2F,"White Mulberry Manual Height Adjustable Table for Office Work | 120×60 cm Ergonomic Sit Stand Desk for Office Work & Study Multi-Purpose Standing Desk with 80 Kg Load Capacity, Black, 3 Year Warranty",SMAB,IN,100.00,67.01,10.00,centimeter,24.00,kilograms,0.0670,cubic meter,1.0,1.0,0.0000,2026-05,2083.88,INR,0.0,0.0
B0DQ4YWSMC,X00270AW07,White Mulberry |120X60CM Table Top|Motorized Sit Stand Desk|Multi-Purpose Electric Height Adjustable Ergonomic Desk - Office Work study Table|3 Year Warranty|Digital screen Advance Memory Preset-White,SDEG,IN,100.00,59.99,1.80,centimeter,26.00,kilograms,0.0108,cubic meter,0.58,0.0,0.0063,2026-05,2083.88,INR,13.0528,0.0
B0CPT34B2L,X001Y62M17,"White Mulberry Wooden Motorized Electronic Height Adjustable | Ergonomic Spacious Design Desk | Motor&Memory Preset Controller|Sit Stand Desk for Office, Home & Study Table| 1200mmx600mm | Black",SMAB,IN,100.00,59.99,18.00,centimeter,20.00,kilograms,0.1080,cubic meter,1.0,1.0,0.0000,2026-05,2083.88,INR,0.0,0.0
B0DQ1NV8D2,X0026ZDA2F,"White Mulberry Manual Height Adjustable Table for Office Work | 120×60 cm Ergonomic Sit Stand Desk for Office Work & Study Multi-Purpose Standing Desk with 80 Kg Load Capacity, Black, 3 Year Warranty",SHTI,IN,100.00,67.01,10.00,centimeter,24.00,kilograms,0.0670,cubic meter,0.74,0.0,0.0476,2026-05,2083.88,INR,99.1409,0.03
B0DQ4YWSMC,X00270AW07,White Mulberry |120X60CM Table Top|Motorized Sit Stand Desk|Multi-Purpose Electric Height Adjustable Ergonomic Desk - Office Work study Table|3 Year Warranty|Digital screen Advance Memory Preset-White,BLX1,IN,100.00,59.99,1.80,centimeter,26.00,kilograms,0.0108,cubic meter,1.1,0.0,0.0116,2026-05,2083.88,INR,24.0815,0.03
B0CPFPT6DZ,X001Y64T4Z,"White Mulberry Motorized Height Adjustable Desk with USB Charging,Drawer|Spacious Ergonomic Design|Preset Height Controller|Sit Stand Desk for Office,Home Study,Workstation Table|1200X600mm|White",SHTX,IN,100.00,68.00,15.00,centimeter,25.00,kilograms,0.1020,cubic meter,1.0,1.0,0.0000,2026-05,2083.88,INR,0.0,0.0
B0DC3JRBW1,X0023GTM6Z,"White Mulberry Wooden Motorized Electronic Height Adjustable | Ergonomic Spacious Design Desk | Motor&Memory Preset Controller|Sit Stand Desk for Office, Home & Study Table| 1200mmx600mm | Light Oak",SMAB,IN,100.00,75.01,60.00,centimeter,27.00,kilograms,0.4500,cubic meter,1.0,1.0,0.0000,2026-05,2083.88,INR,0.0,0.0
B0DQ4YWSMC,X00270AW07,White Mulberry |120X60CM Table Top|Motorized Sit Stand Desk|Multi-Purpose Electric Height Adjustable Ergonomic Desk - Office Work study Table|3 Year Warranty|Digital screen Advance Memory Preset-White,SMAB,IN,100.00,59.99,1.80,centimeter,26.00,kilograms,0.0108,cubic meter,11.42,9.03,0.0258,2026-05,2083.88,INR,53.7866,0.0
