return-date,order-id,sku,asin,fnsku,product-name,quantity,fulfillment-center-id,detailed-disposition,reason,license-plate-number,customer-comments
2026-06-11T03:28:20+00:00,404-1468325-9160329,FBA80084,B0GXP97CZG,X002KGCK5N,Audio Array 4-Channel 3-Out Hybrid USB Summing Audio Mixer | 4 Analog & 2 Digital Channels | 99 DSP FX | 192kHz/24-Bit OTG | Logarithmic Faders | Balanced XLR Output | Phantom Power & Hi-Z | BE-4,1,CCX1,SELLABLE,DEFECTIVE,LPNCCX1B5378941,
2026-06-10T22:11:53+00:00,404-5170989-0908344,FBA75673,B0B4DPX2J2,X001L46QAP,"Audio Array AM-C1 USB Condenser Microphone Kit | for Podcasting, Online Meeting, Gaming, Singing & Live Streaming | Boom Arm, Pop Filter, Mic Cover, Spider Shock Mount, Tripod & 2.5M USB Cable",1,CCX1,CUSTOMER_DAMAGED,NOT_COMPATIBLE,LPNCCX1B2866542,
2026-06-10T09:53:11+00:00,408-8486409-6967521,FBA79813,B0FG88HVQ8,X002FSN1LN,"Audio Array Professional DJ Headphones| Studio Headphone| 50mm Drivers| 32Ω | 20Hz-20kHz | Dual Detachable Cables with Mic & Controls| Buddy Share Technology | 105 dB SPL | Monitoring,Mixing| AH-50",1,AMD2,SELLABLE,QUALITY_UNACCEPTABLE,LPNAMD2M3585937,It&#39;s not wireless and I&#39;m looking for wireless
2026-06-10T07:55:09+00:00,402-3267190-5355559,FBA79813,B0FG88HVQ8,X002FSN1LN,"Audio Array Professional DJ Headphones| Studio Headphone| 50mm Drivers| 32Ω | 20Hz-20kHz | Dual Detachable Cables with Mic & Controls| Buddy Share Technology | 105 dB SPL | Monitoring,Mixing| AH-50",1,DEL4,SELLABLE,QUALITY_UNACCEPTABLE,LPNDEL4AA3954529,Uncomfortable
2026-06-10T07:24:31+00:00,171-4172567-5391545,FBA79979,B0GN8RQJRG,X002IKHYYX,"Audio Array AK-37 Black MIDI Keyboard 37 Velocity Sensitive Keys, Built-in Speakers, 200 Presets, Sustain & Touch, Tempo, Octave/Transpose/Tune, Master Volume Knob, LED Display BT AA & Type-C Power",1,BLR8,SELLABLE,UNDELIVERABLE_REFUSED,LPNBLR8Z3308010,
2026-06-10T04:42:59+00:00,402-3670956-6311558,FBA75674,B0B4G19R58,X001L4QVU5,"Audio Array AM-C2 XLR Condenser Microphone Kit | Boom Arm, 2M Cable, Pop Filter & Mic Cover | Compatible with Audio Interface, Mixer & preamp | Recording, Podcasting, Streaming, Home Studio (Black)",1,BLR8,CUSTOMER_DAMAGED,QUALITY_UNACCEPTABLE,LPNBLR8Z3305266,
2026-06-09T11:19:40+00:00,408-6143893-8405949,FBA76862,B0BPLWW72Y,X001ON74I1,Audio Array AM-C28 USB Plug & Play Conference Microphone | Omni Directional Pickup Upto 3M | Mic Mute Button | No Drivers Condenser USB Type-C | Ideal for Meetings & Video Calling (Not a Speaker),1,DEL4,SELLABLE,UNDELIVERABLE_UNKNOWN,LPNDEL4AA3945828,
2026-06-09T10:36:03+00:00,406-6123154-5553149,FBA79959,B0G39ZHDYP,X002GFVGS5,"Audio Array Wired Voice Amplifier for Teachers 2026 Edition | Bluetooth 5.3 | Mic for Teaching with 10W Speaker, Tour Guides | 10Hrs Battery Life |1 Click Monitoring | TWS Connectivity AM-W47 Wired",1,HYD8,DEFECTIVE,ORDERED_WRONG_ITEM,LPNHYD8EI35203,My mistake in place of earing aid
2026-06-09T10:35:11+00:00,404-2291136-0737104,FBA80084,B0GXP97CZG,X002KGCK5N,Audio Array 4-Channel 3-Out Hybrid USB Summing Audio Mixer | 4 Analog & 2 Digital Channels | 99 DSP FX | 192kHz/24-Bit OTG | Logarithmic Faders | Balanced XLR Output | Phantom Power & Hi-Z | BE-4,1,BOM5,SELLABLE,DEFECTIVE,LPNBOM5F5632710,
2026-06-09T09:15:27+00:00,406-7959959-1406720,FBA79974,B0GD8JSPB1,X002HC9D9L,"Audio Array 60W Bluetooth Bookshelf Speaker Pair | 1.5"" Silk Dome Tweeter, 4"" Sub Woofer | Music & Monitor Mode | Aux, HDMI, USB-C, TRS & RCA Connectivity (AMS1)",1,BOM5,CUSTOMER_DAMAGED,DEFECTIVE,LPNBOM5F5543096,
2026-06-09T08:45:40+00:00,171-3926962-2680344,FBA79813,B0FG88HVQ8,X002FSN1LN,"Audio Array Professional DJ Headphones| Studio Headphone| 50mm Drivers| 32Ω | 20Hz-20kHz | Dual Detachable Cables with Mic & Controls| Buddy Share Technology | 105 dB SPL | Monitoring,Mixing| AH-50",1,DEL4,SELLABLE,UNDELIVERABLE_REFUSED,LPNDEL4AA3952831,
2026-06-09T07:56:11+00:00,407-1688939-7900340,FBA79961,B0G53H49BS,X002GRD0C3,"Audio Array Sound Mixer 2026 Edition Audio Mixer 4 Channel Hybrid USB Control | 4 Analog 2 Digital | 2XLR Mic Inputs,TRS Stereo In |48V Phantom | Hi-Z,2 Band EQ,Monitoring,Amp Out, USB-C Power | AI-13",1,BOM7,SELLABLE,UNDELIVERABLE_REFUSED,LPNBOM7D19824180,
2026-06-09T06:46:05+00:00,403-7414638-4509945,FBA79982,B0GN8MPYPG,X002IKFC8X,"Audio Array AK-61 Pro 61-Key Portable Electronic Keyboard with LCD Display, Built-in Speakers, Mic Input & Included Mics, 255 Timbres, 512 Rhythms, Battery & Adapter Powered",1,PNQ3,SELLABLE,DEFECTIVE,LPNPNQ3A4874806,
2026-06-09T05:51:33+00:00,408-7243978-6797932,FBA79109,B0CM9HYVDM,X001WDNVM1,"Audio Array AM-W18 Wireless Karaoke Speaker with Microphone | Portable Bluetooth Speaker for Singing & Gifting with Voice Changer | Upto 8+ Hours of Playback | Bluetooth v5.3, SD Card & AUX in (Pink)",1,CCX1,SELLABLE,UNDELIVERABLE_REFUSED,LPNCCX1B5192174,
2026-06-09T05:29:30+00:00,407-8093446-9761955,FBA76414,B0BLJVJ2GN,X001NY6AGX,"Audio Array Boom Arm | Suspension Scissor Mic Arm Stand | Universal clamp with mic Holder & 3/8″ to 5/8″ Adapter for Shock mounts | Suitable for Stages, Studios, Broadcasting, TV Stations | AA-05",1,CJB1,SELLABLE,DEFECTIVE,LPNCJB1X197546,
