brand,model,sku,asin,return_units,returns_3p,returns_1p,sellable_units,unsellable_units,sellable_pct,return_pct,top_reason,last_return_at
Tonor,K1,FBA77113,B01ISNU3X4,23,4,19,2,2,50.0,5.7,UNDELIVERABLE_REFUSED,2026-08-29T05:03:32+00:00
Tonor,S20,FBA77117,B078WNW4YW,1,1,0,0,1,0.0,2.4,SWITCHEROO,2026-06-27T04:16:20+00:00
Tonor,G11,FBA79260,B07GVGMW59,14,4,10,2,2,50.0,7.0,UNDELIVERABLE_REFUSED,2026-09-01T12:25:13+00:00
Tonor,TC-777,FBA77101,B07WLWN2ZT,10,1,9,0,1,0.0,14.5,UNWANTED_ITEM,2026-08-27T11:19:38+00:00
Tonor,TC20,FBA77104,B089SJGQBH,1,1,0,1,0,100.0,20.0,UNDELIVERABLE_REFUSED,2026-08-31T09:38:54+00:00
Tonor,TC30,FBA77111,B08CVP2HXP,13,1,12,0,1,0.0,7.5,QUALITY_UNACCEPTABLE,2026-09-05T07:00:44+00:00
Tonor,TM20,FBA77110,B08NDB5NWP,5,2,3,0,2,0.0,4.3,NOT_AS_DESCRIBED,2026-08-26T04:06:36+00:00
Tonor,TC40,FBA77115,B08V1JS3NY,3,1,2,0,1,0.0,33.3,UNDELIVERABLE_REFUSED,2026-09-03T10:39:30+00:00
Audio Array,AM-C1,FBA75673,B0B4DPX2J2,140,17,123,8,9,47.1,5.8,UNDELIVERABLE_REFUSED,2026-08-30T05:27:51+00:00
Audio Array,AM-C2,FBA75674,B0B4G19R58,10,7,3,5,2,71.4,4.9,UNDELIVERABLE_REFUSED,2026-09-05T05:01:36+00:00
Audio Array,AM-C11,FBA75692,B0B4G1HPL5,6,3,3,1,2,33.3,17.6,SWITCHEROO,2026-08-31T05:53:03+00:00
Audio Array,AM-W13,FBA75689,B0B4G59Y8W,18,12,6,12,0,100.0,17.3,DEFECTIVE,2026-09-06T07:43:49+00:00
Audio Array,AM-W14,FBA75691,B0B4G5JG4P,15,8,7,5,3,62.5,9.3,UNDELIVERABLE_REFUSED,2026-08-27T04:02:20+00:00
Audio Array,AA-04,FBA75684,B0B4G7VWXD,8,3,5,2,1,66.7,5.8,UNWANTED_ITEM,2026-07-03T20:20:15+00:00
Audio Array,AM-C3,FBA75675,B0B4G8ZB64,8,3,5,1,2,33.3,7.1,DEFECTIVE,2026-09-05T11:43:48+00:00
Audio Array,AM-C10,FBA75690,B0B4K87PR4,3,1,2,1,0,100.0,2.3,QUALITY_UNACCEPTABLE,2026-08-20T06:22:27+00:00
Audio Array,AM-C5,FBA75677,B0B4KC7VBM,14,5,9,4,1,80.0,4.1,DEFECTIVE,2026-08-19T05:18:42+00:00
Tonor,TC30S,FBA79574,B0B4WTHLX5,3,3,0,2,1,66.7,20.0,UNDELIVERABLE_REFUSED,2026-09-05T03:19:09+00:00
White Mulberry,WM-LOD-WH,FBA76417,B0BFVMDJ2K,27,27,0,7,20,25.9,23.9,UNDELIVERABLE_REFUSED,2026-08-29T04:43:54+00:00
White Mulberry,WM-LOD-IN,FBA76418,B0BFVNS8HS,6,6,0,0,6,0.0,19.4,SWITCHEROO,2026-08-29T11:13:53+00:00
White Mulberry,WM-LOD-BK,FBA76416,B0BFW59TRG,5,5,0,0,5,0.0,20.0,SWITCHEROO,2026-08-07T09:34:30+00:00
White Mulberry,WM-LOD-CF,FBA76415,B0BFWD6SNF,21,21,0,5,16,23.8,20.2,UNDELIVERABLE_REFUSED,2026-09-05T06:10:32+00:00
Audio Array,AA-05,FBA76414,B0BLJVJ2GN,20,5,15,2,3,40.0,4.6,ORDERED_WRONG_ITEM,2026-08-28T16:09:38+00:00
Audio Array,AM-K1,FBA76742,B0BLKBJ5HN,8,8,0,7,1,87.5,72.7,SWITCHEROO,2026-08-15T04:56:56+00:00
Audio Array,AM-C22,FBA76725,B0BLKCSJ7Z,2,1,1,0,1,0.0,50.0,UNDELIVERABLE_REFUSED,2026-08-14T09:35:54+00:00
Audio Array,AM-C17,FBA76720,B0BLKCWZQD,3,3,0,1,2,33.3,75.0,UNDELIVERABLE_REFUSED,2026-07-30T06:56:04+00:00
White Mulberry,WM-SEH04P-CF,FBA76765,B0BMQQQ7YD,1,1,0,0,1,0.0,,SWITCHEROO,2026-06-18T09:01:23+00:00
Audio Array,AM-C28,FBA76862,B0BPLWW72Y,20,7,13,5,2,71.4,3.8,UNDELIVERABLE_REFUSED,2026-09-01T10:07:39+00:00
Audio Array,AI-04 Red,FBA76864,B0BPLZ5CGV,130,17,113,17,0,100.0,8.1,UNDELIVERABLE_REFUSED,2026-09-05T05:00:00+00:00
Audio Array,AI-03,FBA76863,B0BPM2T7BQ,9,2,7,2,0,100.0,11.5,UNDELIVERABLE_REFUSED,2026-08-27T12:39:29+00:00
Audio Array,AM-C29,FBA77011,B0BPMN89NG,3,3,0,2,1,66.7,37.5,UNDELIVERABLE_REFUSED,2026-08-14T08:54:49+00:00
Audio Array,AA-06,FBA76597,B0BQ7H7418,9,3,6,3,0,100.0,7.5,UNDELIVERABLE_REFUSED,2026-09-03T10:50:12+00:00
Tonor,TC310,FBA79113,B0BTCXQQ6M,2,2,0,2,0,100.0,7.1,UNDELIVERABLE_REFUSED,2026-09-06T04:51:12+00:00
