brand,sku,asin,model,nlc,gross_margin,gross_margin_pct,net_margin,net_margin_pct
Audio Array,FBA75673,B0B4DPX2J2,AM-C1,,1069.86,39.64,149.14,5.53
Audio Array,FBA76864,B0BPLZ5CGV,AI-04 Red,,1876.04,42.66,517.6,11.77
Audio Array,FBA79482,B0DXFPM4N2,AM-S1,,2971.5,37.15,467.78,5.85
Audio Array,FBA79103,B0CM6NTWBP,AI-10,,1147.03,41.73,250.31,9.11
Audio Array,FBA79816,B0FPR962YS,AM-W22,,1116.03,37.21,166.31,5.55
Audio Array,FBA79005,B0CKHVHVQ1,AM-W45,,1827.17,36.62,235.02,4.71
Audio Array,FBA79380,B0D3M1B4Z8,AM-C46,,1334.54,37.08,161.82,4.5
Audio Array,FBA78975,B0CF5TCQKL,AA-21,,1802.85,47.46,474.13,12.48
Audio Array,FBA79815,B0FPR7VFCH,AM-W19,,879.66,40.0,153.94,7.0
Audio Array,FBA79379,B0D3LZWTHV,AM-C45,,1249.79,35.72,143.07,4.09
Audio Array,FBA79011,B0CH4RNWJX,AM-C43,,1011.05,40.46,146.33,5.86
Audio Array,FBA79446,B0DFMMTWLY,AM-W33,,510.79,28.39,-119.93,-6.67
Audio Array,FBA79104,B0CM6NVLT9,AI-11,,665.45,42.28,115.73,7.35
Audio Array,FBA78973,B0CF5R3V95,AA-19,,1559.37,41.05,422.65,11.13
Audio Array,FBA79106,B0CM9KJZWQ,AM-C44,,1997.01,39.16,408.29,8.01
Audio Array,FBA79109,B0CM9HYVDM,AM-W18,,556.12,42.81,64.4,4.96
Audio Array,FBA75689,B0B4G59Y8W,AM-W13,,502.57,26.47,-156.15,-8.22
Audio Array,FBA76862,B0BPLWW72Y,AM-C28,,601.65,37.65,45.21,2.83
Audio Array,FBA79449,B0DFMNGFTD,AM-W36,,1568.23,26.58,-248.49,-4.21
Audio Array,FBA75692,B0B4G1HPL5,AM-C11,,1860.41,35.78,244.69,4.71
Audio Array,FBA79355,B0D3M86SH1,AA-19BL,,1713.05,34.27,131.2,2.62
Audio Array,FBA79654,B0DN6MNS1X,AM-C11 Pro,,2114.64,38.46,496.92,9.04
Audio Array,FBA75677,B0B4KC7VBM,AM-C5,,1011.05,40.46,184.33,7.38
Audio Array,FBA75681,B0B4FZS38V,AM-C7,,656.57,23.46,-287.15,-10.26
Audio Array,FBA79356,B0D3Q2T5XX,AA-19WL,,1713.05,34.27,31.43,0.63
Audio Array,FBA75688,B0B4G763WS,AM-W12,,1728.86,43.23,541.14,13.53
Audio Array,FBA75690,B0B4K87PR4,AM-C10,,1566.32,37.3,263.6,6.28
Audio Array,FBA79105,B0CM6WH4ZT,AI-12,,608.47,45.1,121.75,9.02
Audio Array,FBA75674,B0B4G19R58,AM-C2,,1673.52,41.85,355.8,8.9
Audio Array,FBA76863,B0BPM2T7BQ,AI-03,,1537.91,38.46,291.19,7.28
Audio Array,FBA79813,B0FG88HVQ8,AH-50,,843.64,38.36,99.92,4.54
Audio Array,FBA79839,B0FQBXS6Y2,AH-45 BK,,748.79,49.95,168.07,11.21
Audio Array,FBA78976,B0CF5SHL15,AA-22,,1548.61,44.26,304.89,8.71
Audio Array,FBA76723,B0BLKF46QG,AM-C20,,216.71,14.46,-397.96,-26.55
Audio Array,FBA79838,B0FQBX8J17,AH-40 SL,,610.45,50.91,79.73,6.65
Audio Array,FBA79844,B0FN7DYB2M,PB-08 (AM-C1 + AI-04),,2721.78,38.89,497.06,7.1
Audio Array,FBA79694,B0DT6T6N6B,AA-26,,201.53,40.39,-2.23,-0.45
Audio Array,FBA78960,B0CBCB82MT,AM-C39,,746.37,46.68,146.23,9.14
Audio Array,FBA75679,B0B4JRQP22,AA-02,,1066.38,42.67,168.66,6.75
Audio Array,FBA79107,B0CM9P5CCK,AM-W17,,723.92,38.12,73.71,3.88
Audio Array,FBA79655,B0DN6PFWNK,AM-C44 Pro,,2258.21,38.94,556.49,9.6
Audio Array,FBA79841,B0FQBTRM28,AH-60 BL,,766.87,38.36,41.15,2.06
Audio Array,FBA75684,B0B4G7VWXD,AA-04,,624.63,39.06,49.91,3.12
Audio Array,FBA79008,B0CH4RT4P8,AI-06,,1075.14,26.89,-172.58,-4.32
Audio Array,FBA79445,B0DFMLS8JG,AM-W32,,1464.82,37.57,246.1,6.31
Audio Array,FBA76414,B0BLJVJ2GN,AA-05,,354.07,52.15,65.35,9.62
Audio Array,FBA75675,B0B4G8ZB64,AM-C3,,208.49,23.19,-36.79,-4.09
Audio Array,FBA79783,B0FF9R3GKK,AM-C47,,1169.16,38.98,164.44,5.48
Audio Array,FBA79827,B0FJ8S5XJ8,PB-03 (AI-04 Red + AM-C11 x 2),,4780.36,34.15,562.69,4.02
Audio Array,FBA77171,B0CH4VCD6R,AC-6XL,,279.0,55.91,14.83,2.97
Audio Array,FBA79653,B0DN6LJZBR,AM-C45 Pro,,1875.9,41.7,538.18,11.96
Audio Array,FBA79825,B0FJ2DT13L,GB-02 (AM-C43 + AI-11),,1478.1,37.91,87.43,2.24
Audio Array,FBA75687,B0B4G5ZLTB,AM-W11,,-96.02,-3.43,-988.74,-35.32
Audio Array,FBA78974,B0CF5RRTDJ,AA-20,,1221.33,48.87,356.61,14.27
Audio Array,FBA75680,B0B4G1PXWV,AM-C6,,653.09,25.13,-201.63,-7.76
Audio Array,FBA79009,B0CH4PMR8K,AM-C41,,639.18,35.53,67.46,3.75
Audio Array,FBA75676,B0B4DS678Q,AM-C4,,679.02,27.17,-148.7,-5.95
Audio Array,FBA76597,B0BQ7H7418,AA-06,,667.32,49.47,129.6,9.61
Audio Array,FBA79016,B0CH4R1V6S,AM-C3a,,319.16,35.5,32.89,3.66
Audio Array,FBA79230,B0CX1XK5R6,AM-W46,,1282.38,21.38,-590.34,-9.84
Audio Array,FBA79448,B0DFMKY4TT,AM-W35,,1162.14,34.6,94.62,2.82
Audio Array,FBA79108,B0CM9L1QZG,AM-W16,,543.68,38.86,41.96,3.0
